side,workbook_key,workbook_company,workbook_role,workbook_date,workbook_status,workbook_category,workbook_title_resolution,application_id,repository_role,repository_register,repository_evidence_tier,repository_terminal_outcome,in_census_223,match_tier,candidate_application_ids,disposition,disposition_reason
both,Flexbone + Founding GTM Account Executive + 2026-02-08,Flexbone,Founding GTM Account Executive,2026-02-08,GHOSTED,LinkedIn application,Exact title present in source evidence,flexbone|founding-gtm-account-executive|c1,Founding GTM Account Executive,application,C,,no,exact_company_role_date,,agreed,Both datasets hold this record and place it in the application register.
both,"Foursquare + Account Executive, New Business + 2026-01-02",Foursquare,"Account Executive, New Business",2026-01-02,REJECTED,Jobright.ai application,Exact title present in source evidence,foursquare|ae-new-business|c1,AE New Business,application,A,rejected_no_interview,yes,exact_company_role_date,,agreed,Both datasets hold this record and place it in the application register.
both,Fractional Demand + GTM Engineer + 2026-07-26,Fractional Demand,GTM Engineer,2026-07-26,GHOSTED,LinkedIn application,Exact title present in source evidence,fractional-demand|gtm-engineer|c1,GTM Engineer,application,C,,no,company_and_role,,agreed,Both datasets hold this record and place it in the application register.
both,Fractional Demand + GTM Engineer + 2026-03-31,Fractional Demand,GTM Engineer,2026-03-31,GHOSTED,LinkedIn application,Exact title present in source evidence,fractional-demand|gtm-engineer|c1,GTM Engineer,application,C,,no,exact_company_role_date,,agreed,Both datasets hold this record and place it in the application register.
both,Franklin Fitch + AI Training and Adoption Consultant + 2026-06-22,Franklin Fitch,AI Training and Adoption Consultant,2026-06-22,GHOSTED,LinkedIn application,Exact title present in source evidence,franklin-fitch|ai-training-and-adoption-consultant|c1,AI Training and Adoption Consultant,application,C,,no,exact_company_role_date,,agreed,Both datasets hold this record and place it in the application register.
both,Freshtix + Business Development Manager + 2026-05-19,Freshtix,Business Development Manager,2026-05-19,GHOSTED,Jobright.ai application,Exact title present in source evidence,freshtix|business-development-manager|c1,Business Development Manager,application,C,,no,exact_company_role_date,,agreed,Both datasets hold this record and place it in the application register.
both,G2 + GTM Engineer + 2026-03-30,G2,GTM Engineer,2026-03-30,REJECTED,Direct application / ATS,Exact title present in source evidence,g2|gtm-engineer|c1,GTM Engineer,application,A,role_paused_or_closed,yes,exact_company_role_date,,agreed,Both datasets hold this record and place it in the application register.
both,GTP Software + Revenue Enablement Manager + 2025-07-27,GTP Software,Revenue Enablement Manager,2025-07-27,GHOSTED,Direct application / ATS,Exact title present in source evidence,gtp-software|revenue-enablement-manager|c1,Revenue Enablement Manager,application,A,still_open,yes,exact_company_role_date,,agreed,Both datasets hold this record and place it in the application register.
both,Galileo + GTM Engineer + 2025-07-28,Galileo,GTM Engineer,2025-07-28,REJECTED,Direct application / ATS,Exact title present in source evidence,galileo|gtm-engineer|c1,GTM Engineer,application,A,still_open,yes,exact_company_role_date,,agreed,Both datasets hold this record and place it in the application register.
both,Galileo + Growth Engineer + 2025-07-02,Galileo,Growth Engineer,2025-07-02,GHOSTED,Direct application / ATS,Exact title present in source evidence,galileo|growth-engineer|c1,Growth Engineer,application,A,still_open,yes,exact_company_role_date,,agreed,Both datasets hold this record and place it in the application register.
both,Gather AI + GTM Engineer + 2026-02-09,Gather AI,GTM Engineer,2026-02-09,GHOSTED,Direct application / ATS,Exact title present in source evidence,gather-ai|gtm-engineer|c1,GTM Engineer,application,A,still_open,yes,exact_company_role_date,,agreed,Both datasets hold this record and place it in the application register.
both,GatherUp + Growth Engineer (GTM / Go-To-Market Engineer) + 2026-07-15,GatherUp,Growth Engineer (GTM / Go-To-Market Engineer),2026-07-15,GHOSTED,Direct application / ATS,Resolved from contemporaneous Greenhouse/LinkedIn job evidence,gatherup|unspecified|c1,unspecified,application,A,still_open,yes,company_and_unspecified_role,,declined_outside_evidence_title,"The workbook resolves the title as `Growth Engineer (GTM / Go-To-Market Engineer)` from evidence not in this corpus (Resolved from contemporaneous Greenhouse/LinkedIn job evidence). It establishes that the company had an opening by that name in that period, not which opening was applied to."
both,Gigs + Solutions Engineer + 2025-06-30,Gigs,Solutions Engineer,2025-06-30,GHOSTED,LinkedIn application,Exact title present in source evidence,gigs|unspecified|c1,Solutions Engineer,application,B,still_open,yes,exact_company_role_date,,adopted_freeze31_title,Role title backfilled at Freeze 3.1 from this repository's own platform artifacts. The workbook gives the same title independently.
both,GitLab + GTM Planning & Operations Analyst + 2026-02-10,GitLab,GTM Planning & Operations Analyst,2026-02-10,REJECTED,Direct application / ATS,Exact title present in source evidence,gitlab|gtm-planning-operations-analyst|c1,GTM Planning & Operations Analyst,application,A,role_paused_or_closed,yes,exact_company_role_date,,agreed,Both datasets hold this record and place it in the application register.
both,Glean + GTM Engineer (Marketing) + 2026-03-23,Glean,GTM Engineer (Marketing),2026-03-23,GHOSTED,Direct application / ATS,Exact title present in source evidence,glean|gtm-engineer-marketing|c1,"GTM Engineer, Marketing",application,A,still_open,yes,exact_company_role_date,,agreed,Both datasets hold this record and place it in the application register.
both,Glytec + GTM Engineer + 2026-01-21,Glytec,GTM Engineer,2026-01-21,REJECTED,LinkedIn recruiter/person outreach,Exact title present in source evidence,glytec|unspecified|c1,unspecified,opportunity,B,still_open,no,company_and_unspecified_role,,register_disagreement,"The workbook counts this record. Here it is `glytec|unspecified|c1` in the opportunity register, because no submission artifact establishes that the applicant applied."
both,Gradient Labs + GTM Engineer + 2026-06-25,Gradient Labs,GTM Engineer,2026-06-25,REJECTED,LinkedIn cold outreach,Exact title present in source evidence,gradient-labs|gtm-engineer|c1,GTM Engineer,application,B,rejected_no_interview,yes,exact_company_role_date,,agreed,Both datasets hold this record and place it in the application register.
both,Great Question + Senior Demand Generation Manager + 2026-07-17,Great Question,Senior Demand Generation Manager,2026-07-17,REJECTED,Community origins,Exact title present in source evidence,great-question|senior-demand-generation-manager|c1,Senior Demand Generation Manager,application,A,rejected_after_interview,yes,exact_company_role_date,,agreed,Both datasets hold this record and place it in the application register.
both,Greenway Collins + GTM Engineer | Remote (US) + 2026-06-08,Greenway Collins,GTM Engineer | Remote (US),2026-06-08,GHOSTED,LinkedIn application,Exact title present in source evidence,greenway-collins|gtm-engineer-remote-us|c1,GTM Engineer | Remote (US),application,C,,no,exact_company_role_date,,agreed,Both datasets hold this record and place it in the application register.
both,GridBank + GTM Engineer + 2026-06-04,GridBank,GTM Engineer,2026-06-04,GHOSTED,LinkedIn application,Exact title present in source evidence,gridbank|gtm-engineer|c1,GTM Engineer,application,C,,no,exact_company_role_date,,agreed,Both datasets hold this record and place it in the application register.
both,HUD + GTM Engineer + 2026-07-15,HUD,GTM Engineer,2026-07-15,REJECTED,Direct application / ATS,Exact title present in source evidence,hud|gtm-engineer|c1,GTM Engineer,application,A,rejected_no_interview,yes,exact_company_role_date,,agreed,Both datasets hold this record and place it in the application register.
both,Handshake + GTM Engineer + 2026-07-15,Handshake,GTM Engineer,2026-07-15,GHOSTED,Direct application / ATS,Exact title present in source evidence,handshake|gtm-engineer|c1,GTM Engineer,application,A,still_open,yes,exact_company_role_date,,agreed,Both datasets hold this record and place it in the application register.
both,Handshake AI Fellowship + Sales & Marketing Professionals project (remote) + 2026-02-11,Handshake AI Fellowship,Sales & Marketing Professionals project (remote),2026-02-11,GHOSTED,LinkedIn recruiter/person outreach,Exact title present in source evidence,handshake|gtm-engineer|c1,GTM Engineer,application,A,still_open,yes,company_only,,agreed,Both datasets hold this record and place it in the application register.
both,Hartfiel Automation + Sales Engineer + 2026-06-22,Hartfiel Automation,Sales Engineer,2026-06-22,GHOSTED,LinkedIn application,Exact title present in source evidence,hartfiel-automation|sales-engineer|c1,Sales Engineer,application,C,,no,exact_company_role_date,,agreed,Both datasets hold this record and place it in the application register.
both,HartleyCo + GTM Engineer + 2026-07-12,HartleyCo,GTM Engineer,2026-07-12,GHOSTED,LinkedIn application,Exact title present in source evidence,hartleyco|founding-gtm|c1,Founding GTM,application,B,rejected_after_interview,yes,company_only,,agreed,Both datasets hold this record and place it in the application register.
both,Headway + Growth Marketing Specialist + 2025-07-03,Headway,Growth Marketing Specialist,2025-07-03,GHOSTED,Direct application / ATS,Exact title present in source evidence,headway|growth-marketing-specialist|c1,Growth Marketing Specialist,application,A,still_open,yes,exact_company_role_date,,agreed,Both datasets hold this record and place it in the application register.
both,"Hermetic AI + Sales Development Representative - Atlanta, GA + 2026-06-25",Hermetic AI,"Sales Development Representative - Atlanta, GA",2026-06-25,GHOSTED,LinkedIn application,Exact title present in source evidence,hermetic-ai|sales-development-representative-atlanta-ga|c1,"Sales Development Representative - Atlanta, GA",application,C,,no,exact_company_role_date,,agreed,Both datasets hold this record and place it in the application register.
both,Hex + Sales Development Representative + 2025-07-31,Hex,Sales Development Representative,2025-07-31,GHOSTED,Direct application / ATS,Exact title present in source evidence,hex|sdr|c1,SDR,application,A,still_open,yes,exact_company_role_date,,agreed,Both datasets hold this record and place it in the application register.
both,Higgsfield + GTM Engineer + 2026-07-15,Higgsfield,GTM Engineer,2026-07-15,GHOSTED,Direct application / ATS,Exact title present in source evidence,higgsfield|gtm-engineer|c1,GTM Engineer,application,A,still_open,yes,exact_company_role_date,,agreed,Both datasets hold this record and place it in the application register.
both,Hightouch + Go-to-Market Engineer + 2026-07-22,Hightouch,Go-to-Market Engineer,2026-07-22,REJECTED,Direct application / ATS,Exact title present in source evidence,hightouch|go-to-market-engineer|c1,Go-to-Market Engineer,application,A,rejected_no_interview,yes,exact_company_role_date,,agreed,Both datasets hold this record and place it in the application register.
both,Hippocratic AI + Deployment Strategist + 2026-06-24,Hippocratic AI,Deployment Strategist,2026-06-24,GHOSTED,LinkedIn application,Exact title present in source evidence,hippocratic-ai|deployment-strategist|c1,Deployment Strategist,application,C,,no,exact_company_role_date,,agreed,Both datasets hold this record and place it in the application register.
both,"Hologram + GTM Engineer, Pre-Sales + 2026-07-15",Hologram,"GTM Engineer, Pre-Sales",2026-07-15,REJECTED,Direct application / ATS,Exact title present in source evidence,hologram|gtm-engineer-pre-sales|c1,GTM Engineer Pre-Sales,application,A,still_open,yes,exact_company_role_date,,agreed,Both datasets hold this record and place it in the application register.
both,HorizonAI Talent + Forward Deployed Engineer + 2026-06-22,HorizonAI Talent,Forward Deployed Engineer,2026-06-22,GHOSTED,LinkedIn application,Exact title present in source evidence,horizonai-talent|forward-deployed-engineer|c1,Forward Deployed Engineer,application,C,,no,exact_company_role_date,,agreed,Both datasets hold this record and place it in the application register.
both,Human Delta + Founding GTM Engineer + 2026-07-12,Human Delta,Founding GTM Engineer,2026-07-12,GHOSTED,LinkedIn application,Exact title present in source evidence,human-delta|founding-gtm-engineer|c1,Founding GTM Engineer,application,C,,no,exact_company_role_date,,agreed,Both datasets hold this record and place it in the application register.
both,Huzzle + GTM Engineer + 2026-06-04,Huzzle,GTM Engineer,2026-06-04,GHOSTED,LinkedIn application,Exact title present in source evidence,huzzle|gtm-engineer|c1,GTM Engineer,application,A,still_open,yes,exact_company_role_date,,agreed,Both datasets hold this record and place it in the application register.
both,Hyperbound + Founding RevOps Lead + 2026-07-17,Hyperbound,Founding RevOps Lead,2026-07-17,REJECTED,Direct application / ATS,Exact title present in source evidence,hyperbound|founding-revops-lead|c1,Founding RevOps Lead,application,B,rejected_no_interview,yes,exact_company_role_date,,agreed,Both datasets hold this record and place it in the application register.
both,Hypergen + GTM Engineer + 2026-03-11,Hypergen,GTM Engineer,2026-03-11,GHOSTED,Direct application / ATS,Exact title present in source evidence,hypergen|gtm-engineer|c1,GTM Engineer,application,A,still_open,yes,exact_company_role_date,,agreed,Both datasets hold this record and place it in the application register.
both,IBM + Manager - Applied AI & GTM Systems - Confluent + 2026-06-22,IBM,Manager - Applied AI & GTM Systems - Confluent,2026-06-22,REJECTED,Direct application / ATS,Exact title present in source evidence,ibm|manager-applied-ai-gtm-systems|c1,"Manager, Applied AI & GTM Systems",application,A,rejected_no_interview,yes,exact_company_role_date,,agreed,Both datasets hold this record and place it in the application register.
both,IBM + Brand Technical Sales Specialist (Brookhaven/Atlanta) + 2026-02-27,IBM,Brand Technical Sales Specialist (Brookhaven/Atlanta),2026-02-27,GHOSTED,LinkedIn recruiter/person outreach,Exact title present in source evidence,ibm|manager-applied-ai-gtm-systems|c1,"Manager, Applied AI & GTM Systems",application,A,rejected_no_interview,yes,company_only,,agreed,Both datasets hold this record and place it in the application register.
both,ITC Infotech + Manager - Business Development + 2025-08-04,ITC Infotech,Manager - Business Development,2025-08-04,GHOSTED,Direct application / ATS,Exact title present in source evidence,itc-infotech|manager-business-development|c1,"Manager, Business Development",application,A,still_open,yes,exact_company_role_date,,agreed,Both datasets hold this record and place it in the application register.
both,InRule Technology + GTM Engineer + 2026-07-06,InRule Technology,GTM Engineer,2026-07-06,GHOSTED,Direct application / ATS,Exact title confirmed directly in the application receipt,inrule-technology|unspecified|c1,unspecified,application,A,still_open,yes,company_and_unspecified_role,,declined_outside_evidence_title,"The workbook resolves the title as `GTM Engineer` from evidence not in this corpus (Exact title confirmed directly in the application receipt). It establishes that the company had an opening by that name in that period, not which opening was applied to."
both,Inertia Growth + Outbound Campaign Manager + 2025-07-26,Inertia Growth,Outbound Campaign Manager,2025-07-26,REJECTED,Cold outreach I initiated,Exact title present in source evidence,inertia-growth|outbound-campaign-manager|c1,Outbound Campaign Manager,application,A,rejected_no_interview,yes,exact_company_role_date,,agreed,Both datasets hold this record and place it in the application register.
both,Insignia Assets + Head of Digital + 2025-11-18,Insignia Assets,Head of Digital,2025-11-18,GHOSTED,LinkedIn application,Exact title present in source evidence,insignia-assets|head-of-digital|c1,Head of Digital,application,C,,no,exact_company_role_date,,agreed,Both datasets hold this record and place it in the application register.
both,IntelliPro + Founding Sales - AI Generic + 2026-06-04,IntelliPro,Founding Sales - AI Generic,2026-06-04,GHOSTED,LinkedIn application,Exact title present in source evidence,intellipro|founding-sales-ai-generic|c1,Founding Sales - AI Generic,application,C,,no,exact_company_role_date,,agreed,Both datasets hold this record and place it in the application register.
both,Inworld AI + GTM Lead + 2026-07-06,Inworld AI,GTM Lead,2026-07-06,GHOSTED,LinkedIn application,Exact title present in source evidence,inworld-ai|gtm-lead|c1,GTM Lead,application,C,,no,exact_company_role_date,,agreed,Both datasets hold this record and place it in the application register.
both,JetBridge AI + Sr. SDR for Profitable AI Startup + 2025-07-07,JetBridge AI,Sr. SDR for Profitable AI Startup,2025-07-07,GHOSTED,LinkedIn application,Exact title present in source evidence,jetbridge-ai|sr-sdr-for-profitable-ai-startup|c1,Sr. SDR for Profitable AI Startup,application,C,,no,exact_company_role_date,,agreed,Both datasets hold this record and place it in the application register.
both,JetBridge AI + Sr. SDR for Profitable AI Startup + 2025-07-03,JetBridge AI,Sr. SDR for Profitable AI Startup,2025-07-03,GHOSTED,LinkedIn application,Exact title present in source evidence,jetbridge-ai|sr-sdr-for-profitable-ai-startup|c1,Sr. SDR for Profitable AI Startup,application,C,,no,exact_company_role_date,,agreed,Both datasets hold this record and place it in the application register.
both,Jobgether + GTM Engineer + 2026-06-22,Jobgether,GTM Engineer,2026-06-22,GHOSTED,LinkedIn application,Exact title present in source evidence,jobgether|gtm-engineer|c1,GTM Engineer,application,A,still_open,yes,exact_company_role_date,,agreed,Both datasets hold this record and place it in the application register.
both,Jobright.ai + AI Engineer + 2026-06-04,Jobright.ai,AI Engineer,2026-06-04,GHOSTED,LinkedIn application,Exact title present in source evidence,jobright-ai|ai-engineer|c1,AI Engineer,application,C,,no,exact_company_role_date,,agreed,Both datasets hold this record and place it in the application register.
both,"Jobright.ai + Product Manager, Entry Level + 2026-05-26",Jobright.ai,"Product Manager, Entry Level",2026-05-26,GHOSTED,LinkedIn application,Exact title present in source evidence,jobright-ai|product-manager-early-career|c1,Product Manager (Early Career),application,A,still_open,yes,company_and_role,,agreed,Both datasets hold this record and place it in the application register.
both,Jobright.ai + Product Manager (Early Career) + 2026-03-27,Jobright.ai,Product Manager (Early Career),2026-03-27,GHOSTED,Jobright.ai application,Exact title present in source evidence,jobright-ai|product-manager-early-career|c1,Product Manager (Early Career),application,A,still_open,yes,exact_company_role_date,,agreed,Both datasets hold this record and place it in the application register.
both,Kana + GTM Engineer + 2026-07-12,Kana,GTM Engineer,2026-07-12,GHOSTED,LinkedIn application,Exact title present in source evidence,kana|gtm-engineer|c1,GTM Engineer,application,C,,no,exact_company_role_date,,agreed,Both datasets hold this record and place it in the application register.
both,Kognitos + Senior Solutions Engineer + 2026-06-03,Kognitos,Senior Solutions Engineer,2026-06-03,GHOSTED,LinkedIn application,Exact title present in source evidence,kognitos|senior-solutions-engineer|c1,Senior Solutions Engineer,application,C,,no,exact_company_role_date,,agreed,Both datasets hold this record and place it in the application register.
both,LangChain + GTM Engineer + 2026-04-10,LangChain,GTM Engineer,2026-04-10,GHOSTED,Direct application / ATS,Exact title present in source evidence,langchain|gtm-engineer|c1,GTM Engineer,application,A,still_open,yes,exact_company_role_date,,agreed,Both datasets hold this record and place it in the application register.
both,Liatrio + GTM RevOps Engineer + 2026-04-05,Liatrio,GTM RevOps Engineer,2026-04-05,GHOSTED,Direct application / ATS,Exact title present in source evidence,liatrio|gtm-revops-engineer|c1,GTM RevOps Engineer,application,A,still_open,yes,exact_company_role_date,,agreed,Both datasets hold this record and place it in the application register.
both,"Light Labs + GTM Engineer, Agents + 2026-07-12",Light Labs,"GTM Engineer, Agents",2026-07-12,GHOSTED,LinkedIn application,Exact title present in source evidence,light-labs|gtm-engineer-agents|c1,"GTM Engineer, Agents",application,C,,no,exact_company_role_date,,agreed,Both datasets hold this record and place it in the application register.
both,Linear + Account Executive (Growth) + 2025-12-08,Linear,Account Executive (Growth),2025-12-08,REJECTED,Direct application / ATS,Exact title present in source evidence,linear|ae-growth|c1,AE Growth,application,A,rejected_no_interview,yes,exact_company_role_date,,agreed,Both datasets hold this record and place it in the application register.
both,Listen Labs + Lead GTM Engineer + 2026-07-12,Listen Labs,Lead GTM Engineer,2026-07-12,GHOSTED,Direct application / ATS,Exact title present in source evidence,listen-labs|lead-gtm-engineer|c1,Lead GTM Engineer,application,A,still_open,yes,exact_company_role_date,,agreed,Both datasets hold this record and place it in the application register.
both,LiveKit + GTM Systems Engineer + 2026-07-20,LiveKit,GTM Systems Engineer,2026-07-20,REJECTED,Direct application / ATS,Exact title present in source evidence,livekit|gtm-systems-engineer|c1,GTM Systems Engineer,application,A,rejected_no_interview,yes,exact_company_role_date,,agreed,Both datasets hold this record and place it in the application register.
both,Logicbroker + AI GTM Engineer + 2026-07-12,Logicbroker,AI GTM Engineer,2026-07-12,GHOSTED,LinkedIn application,Exact title present in source evidence,logicbroker|ai-gtm-engineer|c1,AI GTM Engineer,application,C,,no,exact_company_role_date,,agreed,Both datasets hold this record and place it in the application register.
both,Lorikeet + GTM Engineer + 2026-07-15,Lorikeet,GTM Engineer,2026-07-15,REJECTED,Direct application / ATS,Exact title present in source evidence,lorikeet|gtm-engineer|c1,GTM Engineer,application,A,role_paused_or_closed,yes,exact_company_role_date,,agreed,Both datasets hold this record and place it in the application register.
both,Lyra Health + Senior GTM Enablement Specialist + 2026-06-04,Lyra Health,Senior GTM Enablement Specialist,2026-06-04,GHOSTED,LinkedIn application,Exact title present in source evidence,lyra-health|senior-gtm-enablement-specialist|c1,Senior GTM Enablement Specialist,application,C,,no,exact_company_role_date,,agreed,Both datasets hold this record and place it in the application register.
both,MAJC✨ + Revenue Operations & Business Development + 2026-06-04,MAJC✨,Revenue Operations & Business Development,2026-06-04,GHOSTED,LinkedIn application,Exact title present in source evidence,majc|revenue-operations-business-development|c1,Revenue Operations & Business Development,application,C,,no,exact_company_role_date,,agreed,Both datasets hold this record and place it in the application register.
both,MICHELIN Connected Fleet + Demand Generation and Growth Marketing Manager + 2026-02-10,MICHELIN Connected Fleet,Demand Generation and Growth Marketing Manager,2026-02-10,GHOSTED,LinkedIn application,Exact title present in source evidence,michelin-connected-fleet|demand-generation-and-growth-marketing-manager|c1,Demand Generation and Growth Marketing Manager,application,C,,no,exact_company_role_date,,agreed,Both datasets hold this record and place it in the application register.
both,Manifold AI + Growth Marketing Manager + 2026-02-06,Manifold AI,Growth Marketing Manager,2026-02-06,REJECTED,Direct application / ATS,Exact title present in source evidence,manifold-ai|growth-marketing-manager|c1,Growth Marketing Manager,application,A,rejected_no_interview,yes,exact_company_role_date,,agreed,Both datasets hold this record and place it in the application register.
both,Massive + GTM + 2026-07-12,Massive,GTM,2026-07-12,GHOSTED,LinkedIn application,Exact title present in source evidence,massive|gtm|c1,GTM,application,C,,no,exact_company_role_date,,agreed,Both datasets hold this record and place it in the application register.
both,MavenAI + GTM Engineer + 2026-05-20,MavenAI,GTM Engineer,2026-05-20,GHOSTED,Jobright.ai application,Exact title present in source evidence,mavenai|gtm-engineer|c1,GTM Engineer,application,C,,no,exact_company_role_date,,agreed,Both datasets hold this record and place it in the application register.
both,Melavex + Founding GTM Lead + 2026-06-24,Melavex,Founding GTM Lead,2026-06-24,GHOSTED,LinkedIn application,Exact title present in source evidence,melavex|founding-gtm-lead|c1,Founding GTM Lead,application,C,,no,exact_company_role_date,,agreed,Both datasets hold this record and place it in the application register.
both,Mento + GTM Engineer + 2026-03-30,Mento,GTM Engineer,2026-03-30,GHOSTED,Direct application / ATS,Exact title present in source evidence,mento|gtm-engineer|c1,GTM Engineer,application,A,still_open,yes,exact_company_role_date,,agreed,Both datasets hold this record and place it in the application register.
both,Mento + GTM Engineer + 2026-03-24,Mento,GTM Engineer,2026-03-24,GHOSTED,Direct application / ATS,Exact title present in source evidence,mento|gtm-engineer|c1,GTM Engineer,application,A,still_open,yes,exact_company_role_date,,agreed,Both datasets hold this record and place it in the application register.
both,Mercor + Growth Strategist + 2026-08-20,Mercor,Growth Strategist,2026-08-20,OFFER,Mercor,Exact title present in source evidence,mercor|growth-strategist|c1,Growth Strategist,opportunity,A,offer_accepted,no,exact_company_role_date,,register_disagreement,"The workbook counts this record. Here it is `mercor|growth-strategist|c1` in the opportunity register, because no submission artifact establishes that the applicant applied."
both,Mercor + B2B Sales Expert + 2026-08-18,Mercor,B2B Sales Expert,2026-08-18,REJECTED,Mercor,Exact title present in source evidence,mercor|b2b-sales-expert|c1,B2B Sales Expert,application,A,rejected_no_interview,yes,exact_company_role_date,,agreed,Both datasets hold this record and place it in the application register.
both,Mercor + Sales and Marketing Expert + 2026-08-18,Mercor,Sales and Marketing Expert,2026-08-18,APPLIED,Mercor,Exact title present in source evidence,mercor|sales-and-marketing-expert|c1,Sales and Marketing Expert,application,A,still_open,yes,exact_company_role_date,,agreed,Both datasets hold this record and place it in the application register.
both,Mercor + Sales Engineering Expert + 2026-08-18,Mercor,Sales Engineering Expert,2026-08-18,REJECTED,Mercor,Exact title present in source evidence,mercor|sales-engineering-expert|c1,Sales Engineering Expert,application,A,rejected_no_interview,yes,exact_company_role_date,,agreed,Both datasets hold this record and place it in the application register.
both,Mercor + GTM Engineer + 2026-08-14,Mercor,GTM Engineer,2026-08-14,OFFER,Mercor,Exact title present in source evidence,mercor|gtm-engineer|c1,GTM Engineer,opportunity,A,offer_accepted,no,company_and_role,,register_disagreement,"The workbook counts this record. Here it is `mercor|gtm-engineer|c1` in the opportunity register, because no submission artifact establishes that the applicant applied."
both,Mercor + Education / school Evaluator + 2026-06-22,Mercor,Education / school Evaluator,2026-06-22,REJECTED,Mercor,Exact title present in source evidence,mercor|education-school-evaluator|c1,Education / school Evaluator,application,A,rejected_no_interview,yes,exact_company_role_date,,agreed,Both datasets hold this record and place it in the application register.
both,Mercor + General Sales / GTM Evaluator + 2026-06-22,Mercor,General Sales / GTM Evaluator,2026-06-22,REJECTED,Mercor,Exact title present in source evidence,mercor|general-sales-gtm-evaluator|c1,General Sales / GTM Evaluator,application,A,rejected_no_interview,yes,exact_company_role_date,,agreed,Both datasets hold this record and place it in the application register.
both,"Method Recruiting, a 3x Inc. 5000 company + Founding GTM Engineer + 2026-07-12","Method Recruiting, a 3x Inc. 5000 company",Founding GTM Engineer,2026-07-12,GHOSTED,LinkedIn application,Exact title present in source evidence,method-recruiting-a-3x-inc-5000-company|founding-gtm-engineer|c1,Founding GTM Engineer,application,C,,no,exact_company_role_date,,agreed,Both datasets hold this record and place it in the application register.
both,MinIO + Business Development Representative - Enterprise + 2026-06-24,MinIO,Business Development Representative - Enterprise,2026-06-24,REJECTED,Jobright.ai application,Exact title present in source evidence,minio|bdr-enterprise|c1,BDR Enterprise,application,A,rejected_no_interview,yes,exact_company_role_date,,agreed,Both datasets hold this record and place it in the application register.
both,NICE + AI Solution Strategist + 2026-05-20,NICE,AI Solution Strategist,2026-05-20,GHOSTED,Jobright.ai application,Exact title present in source evidence,nice|ai-solution-strategist|c1,AI Solution Strategist,application,A,still_open,yes,exact_company_role_date,,agreed,Both datasets hold this record and place it in the application register.
both,"Nebius + Director, GTM - Physical AI + 2026-05-20",Nebius,"Director, GTM - Physical AI",2026-05-20,REJECTED,Jobright.ai application,Exact title present in source evidence,nebius|director-gtm-physical-ai|c1,Director GTM Physical AI,application,A,rejected_no_interview,yes,exact_company_role_date,,agreed,Both datasets hold this record and place it in the application register.
both,NetRise + Go To Market (GTM) Engineer / Outbound Pipeline Development + 2026-03-31,NetRise,Go To Market (GTM) Engineer / Outbound Pipeline Development,2026-03-31,GHOSTED,LinkedIn application,Exact title present in source evidence,netrise|go-to-market-gtm-engineer-outbound-pipeline-development|c1,Go To Market (GTM) Engineer / Outbound Pipeline Development,application,C,,no,exact_company_role_date,,agreed,Both datasets hold this record and place it in the application register.
both,"Nooks + GTM Engineer, Marketing + 2026-07-15",Nooks,"GTM Engineer, Marketing",2026-07-15,GHOSTED,Direct application / ATS,Exact title present in source evidence,nooks|gtm-engineer-marketing|c1,"GTM Engineer, Marketing",application,A,still_open,yes,exact_company_role_date,,agreed,Both datasets hold this record and place it in the application register.
both,Nudge AI + Growth Lead + 2026-07-12,Nudge AI,Growth Lead,2026-07-12,GHOSTED,LinkedIn application,Exact title present in source evidence,nudge-ai|growth-lead|c1,Growth Lead,application,C,,no,exact_company_role_date,,agreed,Both datasets hold this record and place it in the application register.
both,OnBoard + GTM Engineer + 2025-08-04,OnBoard,GTM Engineer,2025-08-04,GHOSTED,Direct application / ATS,Exact title present in source evidence,onboard|unspecified|c1,unspecified,application,A,still_open,yes,company_and_unspecified_role,,declined_outside_evidence_title,"The workbook resolves the title as `GTM Engineer` from evidence not in this corpus (Exact title present in source evidence). It establishes that the company had an opening by that name in that period, not which opening was applied to."
both,"Onit, Inc. + Sales Engineer + 2026-05-21","Onit, Inc.",Sales Engineer,2026-05-21,GHOSTED,Jobright.ai application,Exact title present in source evidence,onit|sales-engineer|c1,Sales Engineer,application,A,still_open,yes,exact_company_role_date,,agreed,Both datasets hold this record and place it in the application register.
both,"Ontra + Staff GTM Engineer, Marketing Ops + 2026-04-10",Ontra,"Staff GTM Engineer, Marketing Ops",2026-04-10,REJECTED,Direct application / ATS,Resolved from a contemporaneous job newsletter,ontra|unspecified|c1,unspecified,application,A,rejected_no_interview,yes,company_and_unspecified_role,,declined_outside_evidence_title,"The workbook resolves the title as `Staff GTM Engineer, Marketing Ops` from evidence not in this corpus (Resolved from a contemporaneous job newsletter). It establishes that the company had an opening by that name in that period, not which opening was applied to."
both,OpenObserve Inc. + Growth Marketer + 2026-06-24,OpenObserve Inc.,Growth Marketer,2026-06-24,REJECTED,Jobright.ai application,Exact title present in source evidence,openobserve|growth-marketer|c1,Growth Marketer,application,B,rejected_no_interview,yes,company_and_role,,agreed,Both datasets hold this record and place it in the application register.
both,Orchestry + GTM Engineer (Sales) + 2026-03-24,Orchestry,GTM Engineer (Sales),2026-03-24,REJECTED,Direct application / ATS,Exact title present in source evidence,orchestry|gtm-engineer-sales|c1,GTM Engineer (Sales),application,A,rejected_after_interview,yes,exact_company_role_date,,agreed,Both datasets hold this record and place it in the application register.
