Origin/Source,Company,Role/Title,Role Lane,Role Title Resolution,Date of first contact or application,Current/Final Status,Interview Count,Thread/Dedup Key,Notes/Uncertainty
Jobright.ai application (Applied by Agent) → downstream confirmation: ATS: Greenhouse,Tekion,"Senior Manager, Inside Sales","Account Executive, Sales & Sales Leadership",Exact title present in source evidence,2026-06-24,REJECTED,UNKNOWN,"Tekion + Senior Manager, Inside Sales + 2026-06-24",Rejected 2026-06-27. Jobright log: Applied by Agent; United States; Remote; $78K/yr - $130K/yr.
Jobright.ai application (Applied by Agent) → downstream confirmation: ATS: Lever,UpGuard,SDR Manager (Austin; relocation available),Sales Development & Business Development,Exact title present in source evidence,2026-06-24,REJECTED,UNKNOWN,UpGuard + SDR Manager (Austin; relocation available) + 2026-06-24,— Jobright log: Applied by Agent; United States; Remote; $130K/yr - $150K/yr.
Jobright.ai application (Applied by Agent),Vanco,GTM Enablement Manager,"Enablement, Adoption & Education",Exact title present in source evidence,2026-06-24,GHOSTED,UNKNOWN,Vanco + GTM Enablement Manager + 2026-06-24,Jobright application log; United States; Remote; Senior Level; $90K/yr - $110K/yr.
Jobright.ai application (Applied by Agent) → downstream confirmation: ATS: Ashby,WireScreen,Partnerships Manager,Partnerships & Commercial,Exact title present in source evidence,2026-06-24,REJECTED,UNKNOWN,WireScreen + Partnerships Manager + 2026-06-24,— Jobright log: Applied by Agent; United States; Remote; $220K/yr - $265K/yr.
LinkedIn application → downstream confirmation: ATS: Greenhouse,Armada,"AI Factory, Value Engineer","Solutions, Sales & Forward-Deployed Engineering",Exact title present in source evidence,2026-06-22,GHOSTED,UNKNOWN,"Armada + AI Factory, Value Engineer + 2026-06-22",— LinkedIn Easy Apply/export record: job ID 4420247062; application date 2026-06-22; http://www.linkedin.com/jobs/view/4420247062
LinkedIn application → downstream confirmation: ATS: Greenhouse,Attentive,GTM Engineer,GTM Engineering,Exact title present in source evidence,2026-06-22,GHOSTED,UNKNOWN,Attentive + GTM Engineer + 2026-06-22,Possible reapplication; separate receipt. LinkedIn Easy Apply/export record: job ID 4389964157; application date 2026-06-22; http://www.linkedin.com/jobs/view/4389964157
LinkedIn application,Franklin Fitch,AI Training and Adoption Consultant,"Enablement, Adoption & Education",Exact title present in source evidence,2026-06-22,GHOSTED,UNKNOWN,Franklin Fitch + AI Training and Adoption Consultant + 2026-06-22,LinkedIn application export; job ID 4429984671; http://www.linkedin.com/jobs/view/4429984671
LinkedIn application,Hartfiel Automation,Sales Engineer,"Solutions, Sales & Forward-Deployed Engineering",Exact title present in source evidence,2026-06-22,GHOSTED,UNKNOWN,Hartfiel Automation + Sales Engineer + 2026-06-22,LinkedIn application export; job ID 4429539770; http://www.linkedin.com/jobs/view/4429539770
LinkedIn application,HorizonAI Talent,Forward Deployed Engineer,"Solutions, Sales & Forward-Deployed Engineering",Exact title present in source evidence,2026-06-22,GHOSTED,UNKNOWN,HorizonAI Talent + Forward Deployed Engineer + 2026-06-22,LinkedIn application export; job ID 4430934105; http://www.linkedin.com/jobs/view/4430934105
Direct company careers: IBM,IBM,Manager - Applied AI & GTM Systems - Confluent,"Product, Technical & AI",Exact title present in source evidence,2026-06-22,REJECTED,UNKNOWN,IBM + Manager - Applied AI & GTM Systems - Confluent + 2026-06-22,Rejected 2026-07-26.
LinkedIn application → downstream confirmation: Application email: jobgether.com,Jobgether,GTM Engineer,GTM Engineering,Exact title present in source evidence,2026-06-22,GHOSTED,UNKNOWN,Jobgether + GTM Engineer + 2026-06-22,— LinkedIn Easy Apply/export record: job ID 4427466730; application date 2026-06-22; http://www.linkedin.com/jobs/view/4427466730
Mercor platform application,Mercor,Education / school Evaluator,"Research, Education, Freelance & Other",Exact title present in source evidence,2026-06-22,REJECTED,UNKNOWN,Mercor + Education / school Evaluator + 2026-06-22,—
Mercor platform application,Mercor,General Sales / GTM Evaluator,"GTM Strategy, Leadership & Generalist",Exact title present in source evidence,2026-06-22,REJECTED,UNKNOWN,Mercor + General Sales / GTM Evaluator + 2026-06-22,—
ATS: Greenhouse,Pindrop,GTM Systems Platform Specialist,Revenue & GTM Operations,Resolved from a same-day LinkedIn job recommendation; ATS receipt omitted the title,2026-06-22,GHOSTED,UNKNOWN,Pindrop + GTM Systems Platform Specialist + 2026-06-22,Separate later application; role unresolved. Evidence amendment accepted 2026-08-30: A same-day LinkedIn recommendation identifies the opening as GTM Systems Platform Specialist.
LinkedIn application,Ritz Instrument Transformers USA,Sales Engineer,"Solutions, Sales & Forward-Deployed Engineering",Exact title present in source evidence,2026-06-22,GHOSTED,UNKNOWN,Ritz Instrument Transformers USA + Sales Engineer + 2026-06-22,LinkedIn application export; job ID 4404203312; http://www.linkedin.com/jobs/view/4404203312
LinkedIn application,Roc Search,Founding GTM Strategy,Founding GTM,Exact title present in source evidence,2026-06-22,GHOSTED,UNKNOWN,Roc Search + Founding GTM Strategy + 2026-06-22,LinkedIn application export; job ID 4431766172; http://www.linkedin.com/jobs/view/4431766172
ATS: Ashby,SentiLink,Go-to-Market (GTM) Strategy Analyst,"GTM Strategy, Leadership & Generalist",Exact title present in source evidence,2026-06-22,REJECTED,UNKNOWN,SentiLink + Go-to-Market (GTM) Strategy Analyst + 2026-06-22,Confirmation omitted role; rejection supplied it.
Application email: syncromsp.com,Syncro,GTM Operations Manager,Revenue & GTM Operations,Exact title present in source evidence,2026-06-22,GHOSTED,UNKNOWN,Syncro + GTM Operations Manager + 2026-06-22,—
ATS: Ashby,Wealth.com,GTM Engineer,GTM Engineering,Exact title present in source evidence,2026-06-22,REJECTED,UNKNOWN,Wealth.com + GTM Engineer + 2026-06-22,—
Application email: recruiting.anduril.com,Anduril,"Technical Operations Engineer, Launched Effects",Revenue & GTM Operations,Exact title present in source evidence,2026-06-21,REJECTED,UNKNOWN,"Anduril + Technical Operations Engineer, Launched Effects + 2026-06-21",Generic rejection on 2026-07-15 appears to correspond to this application.
LinkedIn application,DripShop,Growth Lead - User Acquisition,"Growth, Demand Generation & Marketing",Exact title present in source evidence,2026-06-21,GHOSTED,UNKNOWN,DripShop + Growth Lead - User Acquisition + 2026-06-21,LinkedIn application export; job ID 4430091744; http://www.linkedin.com/jobs/view/4430091744
LinkedIn application,Durham Geo Slope Indicator (DGSI),Technical Sales Engineer,"Solutions, Sales & Forward-Deployed Engineering",Exact title present in source evidence,2026-06-21,GHOSTED,UNKNOWN,Durham Geo Slope Indicator (DGSI) + Technical Sales Engineer + 2026-06-21,LinkedIn application export; job ID 4418281073; http://www.linkedin.com/jobs/view/4418281073
LinkedIn application,The Vincit Group,Systems Engineering and Sales,"Solutions, Sales & Forward-Deployed Engineering",Exact title present in source evidence,2026-06-21,GHOSTED,UNKNOWN,The Vincit Group + Systems Engineering and Sales + 2026-06-21,LinkedIn application export; job ID 4420136034; http://www.linkedin.com/jobs/view/4420136034
LinkedIn application + person/recruiter thread: LinkedIn application + follow-up: per_bc5fbbaba16d / TrueBuilt,TrueBuilt,GTM Engineer,GTM Engineering,Exact title present in source evidence,2026-06-21,PROPOSAL SUBMITTED,0,TrueBuilt + GTM Engineer + 2026-06-21,"LinkedIn thread with per_bc5fbbaba16d (Internal Employee (founder)); source stage: Ongoing; confidence: High. You applied (06/21/26 per application log) and dropped a Loom: 'I really just can't think of a better fit role for me.' Followed up 07/07. Jon came back 07/15: they switched from a full-time hire to a one-time setup project + a few support hours/month. You pitched your zero-to-one motion; he asked you to email jon@ and vin@truebuiltsoftware.com — sent same night. FT role rescoped to contract project. Moved to email 07/15/26. LinkedIn Easy Apply/export record: job ID 4428082624; application date 2026-06-21; http://www.linkedin.com/jobs/view/4428082624 Taxonomy caveat: REJECTED is the closest existing bucket, but the evidence is a full-time-to-contract rescope rather than a written candidate rejection. [User reconciliation 2026-08-30] per_e2697ec44334 occurred. After the job was removed, the CEO responded to the submitted video, invited a contract approach, and a project proposal was submitted."
LinkedIn recruiter/person outbound: Jordan (Morse) Burley / Sage,Sage,BDR,Sales Development & Business Development,Exact title present in source evidence,2026-06-19,GHOSTED,UNKNOWN,Sage + BDR + 2026-06-19,LinkedIn thread with Jordan (Morse) Burley (Recruiter (internal)); source stage: Ghosted; confidence: High. Sage BDR pitch with a direct job-posting link. Not replied to.
LinkedIn application,RTScale AI,Founding Growth Lead,"Growth, Demand Generation & Marketing",Exact title present in source evidence,2026-06-17,GHOSTED,UNKNOWN,RTScale AI + Founding Growth Lead + 2026-06-17,LinkedIn application export; job ID 4429730979; http://www.linkedin.com/jobs/view/4429730979
LinkedIn application + follow-up: per_a0d440162c3c / AnyInt AI,AnyInt AI,Founding Sales (fully remote),"Account Executive, Sales & Sales Leadership",Exact title present in source evidence,2026-06-09,GHOSTED,UNKNOWN,AnyInt AI + Founding Sales (fully remote) + 2026-06-09,"LinkedIn thread with per_a0d440162c3c (Internal Employee); source stage: Applied; confidence: High. Response to your LinkedIn application: AnyInt AI (ex-DeepSeek/Google founding team, AI video routing platform) sent the JD and offered next steps. No further thread activity."
LinkedIn application,Greenway Collins,GTM Engineer | Remote (US),GTM Engineering,Exact title present in source evidence,2026-06-08,GHOSTED,UNKNOWN,Greenway Collins + GTM Engineer | Remote (US) + 2026-06-08,LinkedIn application export; job ID 4425484374; http://www.linkedin.com/jobs/view/4425484374
LinkedIn application,SOLAYA,GTM Engineer,GTM Engineering,Exact title present in source evidence,2026-06-07,GHOSTED,UNKNOWN,SOLAYA + GTM Engineer + 2026-06-07,LinkedIn application export; job ID 4420626352; http://www.linkedin.com/jobs/view/4420626352
Application email: r.applicant-tracking.com,4MindsAI,GTM Engineer,GTM Engineering,Exact title present in source evidence,2026-06-04,GHOSTED,UNKNOWN,4MindsAI + GTM Engineer + 2026-06-04,—
LinkedIn application → downstream confirmation: Application email: adaptive6.comeet-notifications.com,Adaptive6,Sales Engineer,"Solutions, Sales & Forward-Deployed Engineering",Exact title present in source evidence,2026-06-04,REJECTED,UNKNOWN,Adaptive6 + Sales Engineer + 2026-06-04,Rejected 2026-06-16. LinkedIn Easy Apply/export record: job ID 4391888373; application date 2026-06-04; http://www.linkedin.com/jobs/view/4391888373
Application email: cloudflare.vssend.com,Cloudflare,GTM Engineer,GTM Engineering,Exact title present in source evidence,2026-06-04,REJECTED,UNKNOWN,Cloudflare + GTM Engineer + 2026-06-04,Rejected 2026-06-23.
LinkedIn application,Evolution USA,Forward Deplyed Engineer (FDE) - Applied AI / GenAI (Remote),"Product, Technical & AI",Exact title present in source evidence,2026-06-04,GHOSTED,UNKNOWN,Evolution USA + Forward Deplyed Engineer (FDE) - Applied AI / GenAI (Remote) + 2026-06-04,LinkedIn application export; job ID 4424240607; http://www.linkedin.com/jobs/view/4424240607
LinkedIn application,GridBank,GTM Engineer,GTM Engineering,Exact title present in source evidence,2026-06-04,GHOSTED,UNKNOWN,GridBank + GTM Engineer + 2026-06-04,LinkedIn application export; job ID 4404318566; http://www.linkedin.com/jobs/view/4404318566
LinkedIn application → ATS: Workable,Huzzle,GTM Engineer,GTM Engineering,Exact title present in source evidence,2026-06-04,GHOSTED,UNKNOWN,Huzzle + GTM Engineer + 2026-06-04,LinkedIn formal application export: job ID 4422680810; http://www.linkedin.com/jobs/view/4422680810. Workable AI video interview invited/reminded; completion not established; 21+ days after last activity. High-confidence legal-name merge accepted 2026-08-30: Huzzle.com folded into Huzzle.
LinkedIn application,IntelliPro,Founding Sales - AI Generic,"Account Executive, Sales & Sales Leadership",Exact title present in source evidence,2026-06-04,GHOSTED,UNKNOWN,IntelliPro + Founding Sales - AI Generic + 2026-06-04,LinkedIn application export; job ID 4412148637; http://www.linkedin.com/jobs/view/4412148637
LinkedIn application,Jobright.ai,AI Engineer,"Product, Technical & AI",Exact title present in source evidence,2026-06-04,GHOSTED,UNKNOWN,Jobright.ai + AI Engineer + 2026-06-04,LinkedIn application export; job ID 4424269580; http://www.linkedin.com/jobs/view/4424269580
LinkedIn application,Lyra Health,Senior GTM Enablement Specialist,"Enablement, Adoption & Education",Exact title present in source evidence,2026-06-04,GHOSTED,UNKNOWN,Lyra Health + Senior GTM Enablement Specialist + 2026-06-04,LinkedIn application export; job ID 4422091179; http://www.linkedin.com/jobs/view/4422091179
LinkedIn application,MAJC✨,Revenue Operations & Business Development,Revenue & GTM Operations,Exact title present in source evidence,2026-06-04,GHOSTED,UNKNOWN,MAJC✨ + Revenue Operations & Business Development + 2026-06-04,LinkedIn application export; job ID 4422637582; http://www.linkedin.com/jobs/view/4422637582
ATS: Gem,Pogo Technologies,GTM Engineer,GTM Engineering,Exact title present in source evidence,2026-06-04,GHOSTED,UNKNOWN,Pogo Technologies + GTM Engineer + 2026-06-04,Possible reapplication; separate ATS receipt.
LinkedIn application,Scout Global,Forward Deployed Engineer,"Solutions, Sales & Forward-Deployed Engineering",Exact title present in source evidence,2026-06-04,GHOSTED,UNKNOWN,Scout Global + Forward Deployed Engineer + 2026-06-04,LinkedIn application export; job ID 4415272670; http://www.linkedin.com/jobs/view/4415272670
LinkedIn application → direct company process,The Hog,Founding GTM Engineer,Founding GTM,Exact title present in source evidence,2026-06-04,GHOSTED,1,The Hog + Founding GTM Engineer + 2026-06-04,Calendar confirms GTM interview with per_114ee740dd72 on 2026-06-16. Take-home sent 2026-06-17 and credits granted 2026-06-19. No later outcome found. LinkedIn formal application export: job ID 4421369110; http://www.linkedin.com/jobs/view/4421369110. High-confidence legal-name merge accepted 2026-08-30: The Hog (YC F25) wrapper folded into The Hog. [User reconciliation 2026-08-30] The one completed interview was with Hudson.
LinkedIn application,Vi,Sr. Forward Deployed Engineer,"Solutions, Sales & Forward-Deployed Engineering",Exact title present in source evidence,2026-06-04,GHOSTED,UNKNOWN,Vi + Sr. Forward Deployed Engineer + 2026-06-04,LinkedIn application export; job ID 4424011681; http://www.linkedin.com/jobs/view/4424011681
LinkedIn application,Kognitos,Senior Solutions Engineer,"Solutions, Sales & Forward-Deployed Engineering",Exact title present in source evidence,2026-06-03,GHOSTED,UNKNOWN,Kognitos + Senior Solutions Engineer + 2026-06-03,LinkedIn application export; job ID 4423062275; http://www.linkedin.com/jobs/view/4423062275
LinkedIn application,Valoh,Fractional GTM Operations Lead,Revenue & GTM Operations,Exact title present in source evidence,2026-06-03,GHOSTED,UNKNOWN,Valoh + Fractional GTM Operations Lead + 2026-06-03,LinkedIn application export; job ID 4423070262; http://www.linkedin.com/jobs/view/4423070262
LinkedIn recruiter outbound: per_9a33cb2e6778 / RevSpring → company applications,RevSpring,"Lead, Agentic Operations + GTM Engineering",Revenue & GTM Operations,Exact title present in source evidence,2026-05-29,GHOSTED,UNKNOWN,"RevSpring + Lead, Agentic Operations + GTM Engineering + 2026-05-29",Recruiter outreach began 2026-05-29. Gmail confirms applications to the same opening on 2026-06-04 and 2026-06-23; the later receipt is treated as a reapplication in the same opportunity thread.
ATS: Greenhouse,Apollo.io,GTM Engineer (level/book unresolved),GTM Engineering,Functional title resolved; Mid-Market versus SMB level/book remains uncertain,2026-05-28,GHOSTED,UNKNOWN,Apollo.io + GTM Engineer (level/book unresolved) + 2026-05-28,"Two near-identical same-day receipts were deduplicated; role unresolved. Evidence amendment accepted 2026-08-30: Same-period Apollo job evidence confirms a GTM Engineer opening, but does not safely distinguish Mid-Market from SMB for this receipt."
LinkedIn recruiter/person outbound: per_e63747829297 / Aptean,Aptean,Revenue Operations (Clay experience),Revenue & GTM Operations,Exact title present in source evidence,2026-05-28,GHOSTED,UNKNOWN,Aptean + Revenue Operations (Clay experience) + 2026-05-28,LinkedIn thread with per_e63747829297 (Recruiter (internal)); source stage: Phone Screen; confidence: High. Second Aptean recruiter in eight days — RevOps role explicitly requiring Clay experience. You offered to talk same day; she proposed 11am or 12pm EST on 6/2. Aptean clearly sourcing Clay-fluent RevOps/GTM talent in Alpharetta.
LinkedIn application,Jobright.ai,"Product Manager, Entry Level","Product, Technical & AI",Exact title present in source evidence,2026-05-26,GHOSTED,UNKNOWN,"Jobright.ai + Product Manager, Entry Level + 2026-05-26",LinkedIn application export; job ID 4418256672; http://www.linkedin.com/jobs/view/4418256672
LinkedIn application,Piper AI,Growth & Content,"Growth, Demand Generation & Marketing",Exact title present in source evidence,2026-05-26,GHOSTED,UNKNOWN,Piper AI + Growth & Content + 2026-05-26,LinkedIn application export; job ID 4419427998; http://www.linkedin.com/jobs/view/4419427998
LinkedIn application,SoTalent,Generative AI Agent Engineer (Remote),"Product, Technical & AI",Exact title present in source evidence,2026-05-26,GHOSTED,UNKNOWN,SoTalent + Generative AI Agent Engineer (Remote) + 2026-05-26,LinkedIn application export; job ID 4415219033; http://www.linkedin.com/jobs/view/4415219033
LinkedIn application + person/recruiter thread: LinkedIn application + follow-up: per_b0dcd893b225 / AICRO,AICRO,GTM Engineer,GTM Engineering,Exact title present in source evidence,2026-05-25,GHOSTED,UNKNOWN,AICRO + GTM Engineer + 2026-05-25,"LinkedIn thread with per_b0dcd893b225 (Internal Employee (hiring manager)); source stage: No Opportunity; confidence: High. You cold-messaged Eric after seeing he was hiring a GTM Engineer. He pointed you to the recruiter on the role, James Thomas: 'Suggest prospecting him successfully so that I might see you on the other side (interviews).' You saluted and moved on. Classic GTME test: prospect the recruiter to earn the interview. Application log shows AICRO GTM Engineer applied same day. LinkedIn Easy Apply/export record: job ID 4419107568; application date 2026-05-25; http://www.linkedin.com/jobs/view/4419107568"
ATS: Ashby,EvenUp,"AI Adoption Manager, Strategic & Enterprise Accounts | Southeast","Enablement, Adoption & Education",Exact title present in source evidence,2026-05-25,REJECTED,UNKNOWN,"EvenUp + AI Adoption Manager, Strategic & Enterprise Accounts | Southeast + 2026-05-25",—
ATS: Greenhouse,Speechify,Go-to-Market Engineer - Atlanta,GTM Engineering,Exact title present in source evidence,2026-05-25,GHOSTED,UNKNOWN,Speechify + Go-to-Market Engineer - Atlanta + 2026-05-25,—
Application email: airtable.com,Airtable,GTM Engineer,GTM Engineering,Exact title present in source evidence,2026-05-21,REJECTED,UNKNOWN,Airtable + GTM Engineer + 2026-05-21,Rejected 2026-05-27.
ATS: Greenhouse,ApartmentIQ,GTM Engineer,GTM Engineering,Resolved from Gmail evidence (was UNKNOWN),2026-05-21,GHOSTED,UNKNOWN,ApartmentIQ + GTM Engineer + 2026-05-21,Role unresolved. Exact-title repair: ApartmentIQ rejection on 2026-05-28 explicitly names the GTM Engineer role.
Application email: hiring.colabsoftware.com,CoLab Software,Sales Engineer,"Solutions, Sales & Forward-Deployed Engineering",Exact title present in source evidence,2026-05-21,REJECTED,UNKNOWN,CoLab Software + Sales Engineer + 2026-05-21,Rejected 2026-05-28.
Jobright.ai application (Applied by Agent) → downstream confirmation: ATS: Lever,"Onit, Inc.",Sales Engineer,"Solutions, Sales & Forward-Deployed Engineering",Exact title present in source evidence,2026-05-21,GHOSTED,UNKNOWN,"Onit, Inc. + Sales Engineer + 2026-05-21",21+ days after last Step 1 activity. Jobright log: Applied by Agent; United States; Remote; Not stated.
Jobright.ai application (Applied by Agent) → downstream confirmation: Application email: servicetrade.com,ServiceTrade,GTM Engineer,GTM Engineering,Exact title present in source evidence,2026-05-21,REJECTED,UNKNOWN,ServiceTrade + GTM Engineer + 2026-05-21,Rejected 2026-05-29. Jobright log: Applied by Agent; United States; Remote; Not stated.
Jobright.ai application (Applied by Agent) → downstream confirmation: Application email: talent.icims.com,Applied Systems,Sales Enablement GTM Readiness Lead,"Enablement, Adoption & Education",Exact title present in source evidence,2026-05-20,GHOSTED,UNKNOWN,Applied Systems + Sales Enablement GTM Readiness Lead + 2026-05-20,— Jobright log: Applied by Agent; United States; Remote; $99K/yr - $126K/yr.
LinkedIn recruiter/person outbound: per_13f4bab176da / Aptean,Aptean,Revenue Operations Analyst – GTM AI,Revenue & GTM Operations,Exact title present in source evidence,2026-05-20,GHOSTED,UNKNOWN,Aptean + Revenue Operations Analyst – GTM AI + 2026-05-20,"LinkedIn thread with per_13f4bab176da (Recruiter (internal)); source stage: Phone Screen; confidence: High. Alice (who'd pitched you Aptean BDR/ADR roles back in 2023) returned with a RevOps Analyst – GTM AI role: build/maintain the revenue tech stack and apply AI. You said 'Sure!'; she asked for availability for a call the following week. Thread predates range (started 01/12/2023) — flagged; in-range activity is a fresh, relevant role."
Jobright.ai application (Applied by Agent),CoLab,Sales Engineer,"Solutions, Sales & Forward-Deployed Engineering",Exact title present in source evidence,2026-05-20,GHOSTED,UNKNOWN,CoLab + Sales Engineer + 2026-05-20,Jobright application log; United States; Remote; Mid Level; Not stated.
Jobright.ai application (Applied by Agent) → downstream confirmation: ATS: Greenhouse,DBeaver,GTM Engineer,GTM Engineering,Exact title present in source evidence,2026-05-20,REJECTED,UNKNOWN,DBeaver + GTM Engineer + 2026-05-20,Rejected 2026-06-05. Jobright log: Applied by Agent; United States; Remote; Not stated.
Jobright.ai application (Applied by Agent) → downstream confirmation: ATS: Ashby,Deepgram,GTM Engineer,GTM Engineering,Exact title present in source evidence,2026-05-20,REJECTED,UNKNOWN,Deepgram + GTM Engineer + 2026-05-20,— Jobright log: Applied by Agent; United States; Remote; Not stated.
Jobright.ai application (Applied by Agent) → downstream confirmation: ATS: Greenhouse,FOSSA,GTM Engineer,GTM Engineering,Exact title present in source evidence,2026-05-20,GHOSTED,UNKNOWN,FOSSA + GTM Engineer + 2026-05-20,Role unresolved; possible reapplication. Jobright log: Applied by Agent; United States; Remote; $135K/yr - $165K/yr.
Jobright.ai application (Applied by Agent),MavenAI,GTM Engineer,GTM Engineering,Exact title present in source evidence,2026-05-20,GHOSTED,UNKNOWN,MavenAI + GTM Engineer + 2026-05-20,"Jobright application log; United States; Remote; Mid, Senior Level; Not stated."
Jobright.ai application (Applied by Agent) → downstream confirmation: Application email: eu.greenhouse-mail.io,Nebius,"Director, GTM - Physical AI","GTM Strategy, Leadership & Generalist",Exact title present in source evidence,2026-05-20,REJECTED,UNKNOWN,"Nebius + Director, GTM - Physical AI + 2026-05-20",Rejected 2026-07-16. Jobright log: Applied by Agent; United States; Remote; $300K/yr - $350K/yr.
Jobright.ai application (Applied by Agent) → downstream confirmation: Application email: ziprecruiter.com,NICE,AI Solution Strategist,"Solutions, Sales & Forward-Deployed Engineering",Exact title present in source evidence,2026-05-20,GHOSTED,UNKNOWN,NICE + AI Solution Strategist + 2026-05-20,— Jobright log: Applied by Agent; United States; Remote; Not stated.
Jobright.ai application (Applied by Agent) → downstream confirmation: ATS: Greenhouse,Pindrop,GTM Systems Platform Specialist,Revenue & GTM Operations,Exact title present in source evidence,2026-05-20,REJECTED,UNKNOWN,Pindrop + GTM Systems Platform Specialist + 2026-05-20,Rejected 2026-05-27. Jobright log: Applied by Agent; United States; Remote; $100K/yr - $120K/yr.
Jobright.ai application (Applied by Agent) → downstream confirmation: ATS: Greenhouse,Telnyx,"Growth Engineer, GTM AI","Growth, Demand Generation & Marketing",Exact title present in source evidence,2026-05-20,GHOSTED,UNKNOWN,"Telnyx + Growth Engineer, GTM AI + 2026-05-20",Role unresolved. Jobright log: Applied by Agent; United States; Remote; Not stated.
Jobright.ai application (Applied by Agent) → downstream confirmation: ATS: Lever,TRACTIAN,Sales Engineer - Automation,"Solutions, Sales & Forward-Deployed Engineering",Exact title present in source evidence,2026-05-20,GHOSTED,UNKNOWN,TRACTIAN + Sales Engineer - Automation + 2026-05-20,"Distinct role from Senior GTM Engineer application. Jobright log: Applied by Agent; Atlanta, GA; Onsite; Not stated."
Jobright.ai application (Applied by Agent) → downstream confirmation: Application email: jobvite.com,VitalSource,AI Enablement Lead,"Enablement, Adoption & Education",Exact title present in source evidence,2026-05-20,GHOSTED,UNKNOWN,VitalSource + AI Enablement Lead + 2026-05-20,— Jobright log: Applied by Agent; United States; Remote; $120K/yr - $147K/yr.
Jobright.ai application → LinkedIn job posting/export; LinkedIn application,Freshtix,Business Development Manager,Sales Development & Business Development,Exact title present in source evidence,2026-05-19,GHOSTED,UNKNOWN,Freshtix + Business Development Manager + 2026-05-19,LinkedIn application export; job ID 4416695523; http://www.linkedin.com/jobs/view/4416695523 Jobright log: Not stated; Atlanta Metro; Hybrid; Not stated.
ATS: Lever,TRACTIAN,Senior GTM Engineer - HubSpot,GTM Engineering,Exact title present in source evidence,2026-05-19,GHOSTED,UNKNOWN,TRACTIAN + Senior GTM Engineer - HubSpot + 2026-05-19,Distinct role from Sales Engineer application.
Recruiter outbound: per_b442ec2b3cdf / Dexian,Mailchimp via Dexian,Outbound Sales Consultant III,"Account Executive, Sales & Sales Leadership",Exact title present in source evidence,2026-05-14,GHOSTED,UNKNOWN,Mailchimp via Dexian + Outbound Sales Consultant III + 2026-05-14,Recruiter identified Mailchimp as the client and requested an updated résumé. No reply/application/interview evidence; GHOSTED is the closest available taxonomy bucket for an inactive 21+ day outreach thread.
LinkedIn recruiter/person outbound: per_5df87ec336ec / Best Version Media,Best Version Media,Sales Specialist,"Account Executive, Sales & Sales Leadership",Exact title present in source evidence,2026-05-06,GHOSTED,UNKNOWN,Best Version Media + Sales Specialist + 2026-05-06,"LinkedIn thread with per_5df87ec336ec (Recruiter (internal)); source stage: Ghosted; confidence: Medium. BVM pitched a sales role off your open-to-work status; you replied late ('Sorry for the delay!'); she pushed resume + scheduler (Chante, 262 area code). Nothing after. Interview scheduling machinery offered."
Direct company career page,spider.cloud,Growth Lead,"Growth, Demand Generation & Marketing",Exact title present in source evidence,2026-05-03,GHOSTED,UNKNOWN,spider.cloud + Growth Lead + 2026-05-03,User explicitly wrote that the role was found on the company's careers page and emailed the application directly. No response or later outcome found.
Application email: careers.10xgenomics.com,10x Genomics,Global Commercial Education Manager,"Enablement, Adoption & Education",Exact title present in source evidence,2026-05-02,REJECTED,UNKNOWN,10x Genomics + Global Commercial Education Manager + 2026-05-02,Rejected 2026-05-14.
LinkedIn recruiter outbound → direct email: Vivi Brown / unnamed San Diego startup,UNKNOWN — Vivi Brown San Diego technology startup,Director of per_897dc4bcefcc,Sales Development & Business Development,Exact title present in source evidence,2026-05-02,GHOSTED,UNKNOWN,UNKNOWN — Vivi Brown San Diego technology startup + Director of per_897dc4bcefcc + 2026-05-02,"Previously excluded solely because it originated on LinkedIn. Gmail confirms a specific role and company description; the user replied with availability, but no later activity was found."
ATS: Greenhouse,Trase,"GTM Engineer, Healthcare",GTM Engineering,Resolved from contemporaneous job newsletters,2026-04-27,GHOSTED,UNKNOWN,"Trase + GTM Engineer, Healthcare + 2026-04-27","Role unresolved; possible earlier application related to later Trase role. Evidence amendment accepted 2026-08-30: Contemporaneous newsletters identify Trase's opening as GTM Engineer, Healthcare."
ATS: Greenhouse,FOSSA,GTM Engineer,GTM Engineering,Resolved from a contemporaneous job newsletter,2026-04-22,GHOSTED,UNKNOWN,FOSSA + GTM Engineer + 2026-04-22,Role unresolved; possible reapplication. Evidence amendment accepted 2026-08-30: A job newsletter shortly before the receipt identifies FOSSA's opening as GTM Engineer.
Community origins — Clay Café (now per_66bf50b3ebda / gtmcafe.com) #jobsandopportunities → direct company application,Every,GTM Engineer,GTM Engineering,Exact title present in source evidence,2026-04-20,GHOSTED,1,Every + GTM Engineer + 2026-04-20,"Earliest documented email thanks the user for applying; original application date/channel unknown. Calendar confirms a 2026-04-21 meeting with Austin Tedesco (austin@every.to), and the user's later email explicitly references the completed conversation. No later outcome found. [User reconciliation 2026-08-30] Origin was a job post in per_66bf50b3ebda #jobsandopportunities; one interview with Austin."
LinkedIn application,Durham Geo Slope Indicator (DGSI),Technical Sales Engineer,"Solutions, Sales & Forward-Deployed Engineering",Exact title present in source evidence,2026-04-19,GHOSTED,UNKNOWN,Durham Geo Slope Indicator (DGSI) + Technical Sales Engineer + 2026-04-19,LinkedIn application export; job ID 4389562890; http://www.linkedin.com/jobs/view/4389562890
