Thread/Dedup Key,Company,Role/Title,Role Lane,Role Title Resolution
Unframe + GTM Engineer + 2026-04-06,Unframe,GTM Engineer,GTM Engineering,Exact title present in source evidence
Valsoft Corporation + GTM Engineer - DockMaster + 2026-04-06,Valsoft Corporation,GTM Engineer - DockMaster,GTM Engineering,Exact title present in source evidence
Wrapbook + GTM Systems Engineer + 2026-04-06,Wrapbook,GTM Systems Engineer,"GTM Strategy, Leadership & Generalist",Exact title present in source evidence
Liatrio + GTM RevOps Engineer + 2026-04-05,Liatrio,GTM RevOps Engineer,Revenue & GTM Operations,Exact title present in source evidence
CompanyCam + GTM Systems Engineer + 2026-04-03,CompanyCam,GTM Systems Engineer,"GTM Strategy, Leadership & Generalist",Exact title present in source evidence
Fixify + Go-To-Market Engineer (Contract) + 2026-04-03,Fixify,Go-To-Market Engineer (Contract),GTM Engineering,Exact title present in source evidence
Brand.ai + GTM Engineer + 2026-04-02,Brand.ai,GTM Engineer,GTM Engineering,Exact title present in source evidence
Crossing Hurdles + GTM Lead + 2026-04-01,Crossing Hurdles,GTM Lead,"GTM Strategy, Leadership & Generalist",Exact title present in source evidence
Montauk Capital + Head of Commercial + 2026-04-01,Montauk Capital,Head of Commercial,Partnerships & Commercial,Exact title present in source evidence
Boulevard + GTM Engineer + 2026-03-31,Boulevard,GTM Engineer,GTM Engineering,Exact title present in source evidence
Fractional Demand + GTM Engineer + 2026-03-31,Fractional Demand,GTM Engineer,GTM Engineering,Exact title present in source evidence
NetRise + Go To Market (GTM) Engineer / Outbound Pipeline Development + 2026-03-31,NetRise,Go To Market (GTM) Engineer / Outbound Pipeline Development,GTM Engineering,Exact title present in source evidence
Dagster Labs + GTM Engineer + 2026-03-30,Dagster Labs,GTM Engineer,GTM Engineering,Exact title present in source evidence
G2 + GTM Engineer + 2026-03-30,G2,GTM Engineer,GTM Engineering,Exact title present in source evidence
Mento + GTM Engineer + 2026-03-30,Mento,GTM Engineer,GTM Engineering,Exact title present in source evidence
PandaDoc + GTM Engineer + 2026-03-30,PandaDoc,GTM Engineer,GTM Engineering,Exact title present in source evidence
Roboflow + RevOps GTM Engineer + 2026-03-30,Roboflow,RevOps GTM Engineer,GTM Engineering,Exact title present in source evidence
Tapcheck + GTM Engineer + 2026-03-30,Tapcheck,GTM Engineer,GTM Engineering,Exact title present in source evidence
Tiger Data + GTM AI Engineer + 2026-03-30,Tiger Data,GTM AI Engineer,GTM Engineering,Exact title present in source evidence
"Unstructured + GTM Engineer, Operations + 2026-03-30",Unstructured,"GTM Engineer, Operations",GTM Engineering,Exact title present in source evidence
Vercel + GTM Engineer + 2026-03-30,Vercel,GTM Engineer,GTM Engineering,Exact title present in source evidence
DISQO + GTM Engineer + 2026-03-27,DISQO,GTM Engineer,GTM Engineering,Exact title present in source evidence
Jobright.ai + Product Manager (Early Career) + 2026-03-27,Jobright.ai,Product Manager (Early Career),"Product, Technical & AI",Exact title present in source evidence
Pinterest + Apprentice Engineer + 2026-03-25,Pinterest,Apprentice Engineer,"Product, Technical & AI",Exact title present in source evidence
Mento + GTM Engineer + 2026-03-24,Mento,GTM Engineer,GTM Engineering,Exact title present in source evidence
Orchestry + GTM Engineer (Sales) + 2026-03-24,Orchestry,GTM Engineer (Sales),"Solutions, Sales & Forward-Deployed Engineering",Exact title present in source evidence
Casper Studios + GTM Engineer + 2026-03-23,Casper Studios,GTM Engineer,GTM Engineering,Exact title present in source evidence
Glean + GTM Engineer (Marketing) + 2026-03-23,Glean,GTM Engineer (Marketing),"Growth, Demand Generation & Marketing",Exact title present in source evidence
New York Life + New York Life opportunity (exact title unresolved) + 2026-03-17,New York Life,New York Life opportunity (exact title unresolved),Financial Services & Advisory,Functional role recovered; formal title remains unresolved (was Unspecified (financial))
Hypergen + GTM Engineer + 2026-03-11,Hypergen,GTM Engineer,GTM Engineering,Exact title present in source evidence
Opsin Security + GTM Engineer + 2026-03-09,Opsin Security,GTM Engineer,GTM Engineering,Exact title present in source evidence
The Workflow Company + AI/GTM Automation Generalist (part-time to full-time) + 2026-03-09,The Workflow Company,AI/GTM Automation Generalist (part-time to full-time),"GTM Strategy, Leadership & Generalist",Functional role recovered from the founder's hiring post; the post did not use a formal requisition title
Virtru + Director of Go-to-Market AI + 2026-03-09,Virtru,Director of Go-to-Market AI,"GTM Strategy, Leadership & Generalist",Exact title present in source evidence
"Anthropic + Software Engineer, Business Technology + 2026-03-08",Anthropic,"Software Engineer, Business Technology","Product, Technical & AI",Exact title present in source evidence
Beautiful.ai + GTM Engineer + 2026-03-08,Beautiful.ai,GTM Engineer,GTM Engineering,Exact title present in source evidence
UNKNOWN — digital product builder + Digital product builder role (exact title unresolved) + 2026-03-07,UNKNOWN — digital product builder,Digital product builder role (exact title unresolved),"Product, Technical & AI",Functional role recovered; formal title remains unresolved (was Unspecified)
Propel + Founding Sales Engineer + 2026-03-05,Propel,Founding Sales Engineer,"Solutions, Sales & Forward-Deployed Engineering",Exact title present in source evidence
Scout Global + Founding Sales Engineer + 2026-03-05,Scout Global,Founding Sales Engineer,"Solutions, Sales & Forward-Deployed Engineering",Exact title present in source evidence
New York Life + Financial Advisor / Fast-Track-to-Management + 2026-03-04,New York Life,Financial Advisor / Fast-Track-to-Management,Financial Services & Advisory,Exact title present in source evidence
TheKiln + GTM Engineer + 2026-03-03,TheKiln,GTM Engineer,GTM Engineering,Exact title present in source evidence
IBM + Brand Technical Sales Specialist (Brookhaven/Atlanta) + 2026-02-27,IBM,Brand Technical Sales Specialist (Brookhaven/Atlanta),"Solutions, Sales & Forward-Deployed Engineering",Exact title present in source evidence
SentiLink + GTM Engineer + 2026-02-23,SentiLink,GTM Engineer,GTM Engineering,Resolved from a same-day job newsletter; ATS receipt omitted the title
Smeetz + GTM Engineer + 2026-02-20,Smeetz,GTM Engineer,GTM Engineering,Exact title present in source evidence
TestGorilla + Go-to-Market Engineer + 2026-02-20,TestGorilla,Go-to-Market Engineer,GTM Engineering,Exact title present in source evidence
Unknown employer via WilsonHR + Outbound Sales Consultant III + 2026-02-13,Unknown employer via WilsonHR,Outbound Sales Consultant III,"Account Executive, Sales & Sales Leadership",Exact title present in source evidence
Ambrook + Business Operations Lead + 2026-02-11,Ambrook,Business Operations Lead,Revenue & GTM Operations,Exact title present in source evidence
Handshake AI Fellowship + Sales & Marketing Professionals project (remote) + 2026-02-11,Handshake AI Fellowship,Sales & Marketing Professionals project (remote),"Growth, Demand Generation & Marketing",Exact title present in source evidence
Databar.ai + GTM Engineer (Growth & Sales) + 2026-02-10,Databar.ai,GTM Engineer (Growth & Sales),"Growth, Demand Generation & Marketing",Exact title present in source evidence
GitLab + GTM Planning & Operations Analyst + 2026-02-10,GitLab,GTM Planning & Operations Analyst,Revenue & GTM Operations,Exact title present in source evidence
MICHELIN Connected Fleet + Demand Generation and Growth Marketing Manager + 2026-02-10,MICHELIN Connected Fleet,Demand Generation and Growth Marketing Manager,"Growth, Demand Generation & Marketing",Exact title present in source evidence
Pegasystems + GTM GenAI Product Owner + 2026-02-10,Pegasystems,GTM GenAI Product Owner,"Product, Technical & AI",Exact title present in source evidence
Gather AI + GTM Engineer + 2026-02-09,Gather AI,GTM Engineer,GTM Engineering,Exact title present in source evidence
Flexbone + Founding GTM Account Executive + 2026-02-08,Flexbone,Founding GTM Account Executive,Founding GTM,Exact title present in source evidence
Manifold AI + Growth Marketing Manager + 2026-02-06,Manifold AI,Growth Marketing Manager,"Growth, Demand Generation & Marketing",Exact title present in source evidence
"Verkada + Enterprise Solutions Engineer, Greater Atlanta Area + 2026-02-04",Verkada,"Enterprise Solutions Engineer, Greater Atlanta Area","Solutions, Sales & Forward-Deployed Engineering",Exact title present in source evidence
Beacon Software + GTM Engineer + 2026-01-26,Beacon Software,GTM Engineer,GTM Engineering,Resolved from an archived contemporaneous job listing
DevSignal + Growth Specialist + 2026-01-26,DevSignal,Growth Specialist,"Growth, Demand Generation & Marketing",Exact title present in source evidence
Glytec + GTM Engineer + 2026-01-21,Glytec,GTM Engineer,GTM Engineering,Exact title present in source evidence
micro1 / unknown client + Finance Expert + 2026-01-21,micro1 / unknown client,Finance Expert,Financial Services & Advisory,Exact title present in source evidence
Pickering Interfaces + Field Sales Engineer - Southeast + 2026-01-20,Pickering Interfaces,Field Sales Engineer - Southeast,"Solutions, Sales & Forward-Deployed Engineering",Exact title present in source evidence
micro1 / unknown client + AI Training Pilot Project + 2026-01-12,micro1 / unknown client,AI Training Pilot Project,"Enablement, Adoption & Education",Exact title present in source evidence
"UNKNOWN — per_648a39346310 referral + SDR (Atlanta, hybrid) + 2026-01-06",UNKNOWN — per_648a39346310 referral,"SDR (Atlanta, hybrid)",Sales Development & Business Development,Exact title present in source evidence
"UNKNOWN — agency client + Sales Development Representative (Alpharetta, GA) + 2026-01-05",UNKNOWN — agency client,"Sales Development Representative (Alpharetta, GA)",Sales Development & Business Development,Exact title present in source evidence
"SailPoint + Account Executive, Enterprise Accounts + 2026-01-03",SailPoint,"Account Executive, Enterprise Accounts","Account Executive, Sales & Sales Leadership",Exact title present in source evidence
"Autodesk + Sr. Sales Specialist, Fusion Enterprise + 2026-01-02",Autodesk,"Sr. Sales Specialist, Fusion Enterprise","Account Executive, Sales & Sales Leadership",Exact title present in source evidence
Axon + Key Account Executive + 2026-01-02,Axon,Key Account Executive,"Account Executive, Sales & Sales Leadership",Exact title present in source evidence
"Foursquare + Account Executive, New Business + 2026-01-02",Foursquare,"Account Executive, New Business","Account Executive, Sales & Sales Leadership",Exact title present in source evidence
"Thomson Reuters + Account Executive, Tax or Risk + 2026-01-02",Thomson Reuters,"Account Executive, Tax or Risk","Account Executive, Sales & Sales Leadership",Exact title present in source evidence
Primer + Senior Business Development Manager - North America + 2025-12-09,Primer,Senior Business Development Manager - North America,Sales Development & Business Development,Exact title present in source evidence
Linear + Account Executive (Growth) + 2025-12-08,Linear,Account Executive (Growth),"Account Executive, Sales & Sales Leadership",Exact title present in source evidence
Vonage + Sales Development Representative - API/CPaaS + 2025-12-08,Vonage,Sales Development Representative - API/CPaaS,Sales Development & Business Development,Exact title present in source evidence
Agroknow + North America Sales + 2025-11-25,Agroknow,North America Sales,"Account Executive, Sales & Sales Leadership",Exact title present in source evidence
Capital Linguists + Part-time SDR/BDR (contractor) + 2025-11-23,Capital Linguists,Part-time SDR/BDR (contractor),Sales Development & Business Development,Exact title present in source evidence
Outlier + Short-term image annotation (freelance) + 2025-11-21,Outlier,Short-term image annotation (freelance),"Research, Education, Freelance & Other",Exact title present in source evidence
Insignia Assets + Head of Digital + 2025-11-18,Insignia Assets,Head of Digital,"Product, Technical & AI",Exact title present in source evidence
"Unknown + AI Enablement Specialist (Atlanta, hybrid) + 2025-11-07",Unknown,"AI Enablement Specialist (Atlanta, hybrid)","Enablement, Adoption & Education",Exact title present in source evidence
"Ambient.ai + GTM Engineer (first-ever, remote) + 2025-10-09",Ambient.ai,"GTM Engineer (first-ever, remote)",GTM Engineering,Exact title present in source evidence
UNKNOWN — Flexton client + Enablement Lead + 2025-10-02,UNKNOWN — Flexton client,Enablement Lead,"Enablement, Adoption & Education",Exact title present in source evidence
UNKNOWN — financial agency + Financial professional (remote) + 2025-09-24,UNKNOWN — financial agency,Financial professional (remote),Financial Services & Advisory,Exact title present in source evidence
Stealth US startup + GTM Engineer + 2025-08-31,Stealth US startup,GTM Engineer,GTM Engineering,Resolved from per_c2fa784a3619's public hiring post and the matching message sequence
Unknown AI SaaS biotech company via Strategic Employment + Account Executive + 2025-08-28,Unknown AI SaaS biotech company via per_a02182d1f7af,Account Executive,"Account Executive, Sales & Sales Leadership",Exact title present in source evidence
WorkOS + GTM Engineer (remote) + 2025-08-25,WorkOS,GTM Engineer (remote),GTM Engineering,Exact title present in source evidence
Mixmax + GTM Engineer (contract) + 2025-08-13,Mixmax,GTM Engineer (contract),GTM Engineering,Exact title present in source evidence
ClassDojo + RevOps Lead + 2025-08-08,ClassDojo,RevOps Lead,Revenue & GTM Operations,Exact title present in source evidence
Switchyards + Launch Manager + 2025-08-08,Switchyards,Launch Manager,"Product, Technical & AI",Exact title present in source evidence
"Soliant + Account Executive (Atlanta, GA) + 2025-08-07",Soliant,"Account Executive (Atlanta, GA)","Account Executive, Sales & Sales Leadership",Exact title present in source evidence
Ambrook + Partnerships Lead + 2025-08-06,Ambrook,Partnerships Lead,Partnerships & Commercial,Exact title present in source evidence
Outlier + Part-Time Graphic Design (remote gig) + 2025-08-06,Outlier,Part-Time Graphic Design (remote gig),"Research, Education, Freelance & Other",Exact title present in source evidence
Crypto.com + Product Growth Hacker: Exchange & Main App + 2025-08-05,Crypto.com,Product Growth Hacker: Exchange & Main App,"Growth, Demand Generation & Marketing",Exact title present in source evidence
Seamless.AI + Sales Development Representative (9–5 EST Remote US) + 2025-08-05,Seamless.AI,Sales Development Representative (9–5 EST Remote US),Sales Development & Business Development,Exact title present in source evidence
4flow + Director - Go To Market Strategy + 2025-08-04,4flow,Director - Go To Market Strategy,"GTM Strategy, Leadership & Generalist",Exact title present in source evidence
AutoLeap + Sales Development Representative + 2025-08-04,AutoLeap,Sales Development Representative,Sales Development & Business Development,Exact title present in source evidence
"Axon + Manager, Go-to-Market Readiness + 2025-08-04",Axon,"Manager, Go-to-Market Readiness","Enablement, Adoption & Education",Exact title present in source evidence
ITC Infotech + Manager - Business Development + 2025-08-04,ITC Infotech,Manager - Business Development,Sales Development & Business Development,Exact title present in source evidence
OnBoard + GTM Engineer + 2025-08-04,OnBoard,GTM Engineer,GTM Engineering,Exact title present in source evidence
proteanTecs + Sales Development Representative + 2025-08-04,proteanTecs,Sales Development Representative,Sales Development & Business Development,Exact title present in source evidence
Hex + Sales Development Representative + 2025-07-31,Hex,Sales Development Representative,Sales Development & Business Development,Exact title present in source evidence
Galileo + GTM Engineer + 2025-07-28,Galileo,GTM Engineer,GTM Engineering,Exact title present in source evidence
90 Seconds + (Senior) Business Development Manager - Enterprise (US) + 2025-07-27,90 Seconds,(Senior) Business Development Manager - Enterprise (US),Sales Development & Business Development,Exact title present in source evidence
Anaconda + Senior Business Development Representative + 2025-07-27,Anaconda,Senior Business Development Representative,Sales Development & Business Development,Exact title present in source evidence
GTP Software + Revenue Enablement Manager + 2025-07-27,GTP Software,Revenue Enablement Manager,"Enablement, Adoption & Education",Exact title present in source evidence
Phiture + US Growth Lead - Mobile Marketing Strategist + 2025-07-27,Phiture,US Growth Lead - Mobile Marketing Strategist,"Growth, Demand Generation & Marketing",Exact title present in source evidence
Replit + Sales Engineer + 2025-07-27,Replit,Sales Engineer,"Solutions, Sales & Forward-Deployed Engineering",Exact title present in source evidence
Shaped + Founding SDR + 2025-07-27,Shaped,Founding SDR,Sales Development & Business Development,Exact title present in source evidence
Stedi + GTM Strategy & Operations + 2025-07-27,Stedi,GTM Strategy & Operations,Revenue & GTM Operations,Exact title present in source evidence
Volley + Senior Business Development Manager + 2025-07-27,Volley,Senior Business Development Manager,Sales Development & Business Development,Exact title present in source evidence
Weave + Business Development Manager + 2025-07-27,Weave,Business Development Manager,Sales Development & Business Development,Exact title present in source evidence
Inertia Growth + Outbound Campaign Manager + 2025-07-26,Inertia Growth,Outbound Campaign Manager,"Growth, Demand Generation & Marketing",Exact title present in source evidence
Exa Labs Inc. + Growth Lead + 2025-07-25,Exa Labs Inc.,Growth Lead,"Growth, Demand Generation & Marketing",Exact title present in source evidence
Slingshot AI + Conversation Designer + 2025-07-25,Slingshot AI,Conversation Designer,"Product, Technical & AI",Exact title present in source evidence
Starbridge + Founding GTM Engineer + 2025-07-25,Starbridge,Founding GTM Engineer,Founding GTM,Exact title present in source evidence
AirOps → thecannonproject + GTM Engineer + 2025-07-24,AirOps → thecannonproject,GTM Engineer,GTM Engineering,Exact title present in source evidence
Protecht + SDR — Outbound Enterprise B2B + 2025-07-17,Protecht,SDR — Outbound Enterprise B2B,Sales Development & Business Development,Exact title present in source evidence
ScaleOps + Sales Engineer - USA + 2025-07-17,ScaleOps,Sales Engineer - USA,"Solutions, Sales & Forward-Deployed Engineering",Exact title present in source evidence
Small Business Growth Alliance (SBGA) + Remote Sales / Independent Business Consultant + 2025-07-10,Small Business Growth Alliance (SBGA),Remote Sales / Independent Business Consultant,"Account Executive, Sales & Sales Leadership",Exact title present in source evidence
SWARM + Sales Engineer + 2025-07-09,SWARM,Sales Engineer,"Solutions, Sales & Forward-Deployed Engineering",Exact title present in source evidence
ClosedWon Talent + Founding Account Executive + 2025-07-08,ClosedWon Talent,Founding Account Executive,"Account Executive, Sales & Sales Leadership",Exact title present in source evidence
Cyft + Growth team role + 2025-07-08,Cyft,Growth team role,"Growth, Demand Generation & Marketing",Exact title present in source evidence
Abacus.AI + Senior Sales Development Representative + 2025-07-07,Abacus.AI,Senior Sales Development Representative,Sales Development & Business Development,Exact title present in source evidence
Applause + Enterprise SDR + 2025-07-07,Applause,Enterprise SDR,Sales Development & Business Development,Exact title present in source evidence
Brainfish + Sales Development Representative (SDR) – Dive into AI with Brainfish! + 2025-07-07,Brainfish,Sales Development Representative (SDR) – Dive into AI with Brainfish!,Sales Development & Business Development,Exact title present in source evidence
JetBridge AI + Sr. SDR for Profitable AI Startup + 2025-07-07,JetBridge AI,Sr. SDR for Profitable AI Startup,Sales Development & Business Development,Exact title present in source evidence
Stealth company via Search With Jack + Growth Lead + 2025-07-07,Stealth company via per_1b05c163b351,Growth Lead,"Growth, Demand Generation & Marketing",Exact title present in source evidence
Headway + Growth Marketing Specialist + 2025-07-03,Headway,Growth Marketing Specialist,"Growth, Demand Generation & Marketing",Exact title present in source evidence
JetBridge AI + Sr. SDR for Profitable AI Startup + 2025-07-03,JetBridge AI,Sr. SDR for Profitable AI Startup,Sales Development & Business Development,Exact title present in source evidence
Galileo + Growth Engineer + 2025-07-02,Galileo,Growth Engineer,"Growth, Demand Generation & Marketing",Exact title present in source evidence
UNKNOWN — per_950db4b78993's company + GTM Engineer + 2025-07-01,UNKNOWN — per_950db4b78993's company,GTM Engineer,GTM Engineering,Exact title present in source evidence
Bitovi + AI Enablement Engineer + 2025-06-30,Bitovi,AI Enablement Engineer,"Enablement, Adoption & Education",Exact title present in source evidence
Gigs + Solutions Engineer + 2025-06-30,Gigs,Solutions Engineer,"Solutions, Sales & Forward-Deployed Engineering",Exact title present in source evidence
Pinn + Outbound Business Development role (exact title unresolved) + 2025-06-30,Pinn,Outbound Business Development role (exact title unresolved),Sales Development & Business Development,Functional role recovered; formal title remains unresolved (was UNKNOWN)
"ScoutLab.io + Brand New Role! - AI FinTech Heavyweight! - Solutions Engineer  – Series B equity - $150k Base, Generous Bonus Structure -Remote – EST and CST Only + 2025-06-30",ScoutLab.io,"Brand New Role! - AI FinTech Heavyweight! - Solutions Engineer  – Series B equity - $150k Base, Generous Bonus Structure -Remote – EST and CST Only","Solutions, Sales & Forward-Deployed Engineering",Exact title present in source evidence
Clipboard Education + Full Cycle Sales Representative + 2025-06-26,Clipboard Education,Full Cycle Sales Representative,"Account Executive, Sales & Sales Leadership",Exact title present in source evidence
Runway + Go-To-Market AI Engineer + 2025-06-26,Runway,Go-To-Market AI Engineer,GTM Engineering,Exact title present in source evidence
Trace3 + Sales Development Representative + 2025-06-25,Trace3,Sales Development Representative,Sales Development & Business Development,Exact title present in source evidence
Thrivent + Financial Advisor + 2025-06-23,Thrivent,Financial Advisor,Financial Services & Advisory,Exact title present in source evidence
"Circle + GTM Engineer, Outbound + 2025-06-20",Circle,"GTM Engineer, Outbound",GTM Engineering,Exact title present in source evidence
Datricks + Sales Engineer - US (Remote) + 2025-06-20,Datricks,Sales Engineer - US (Remote),"Solutions, Sales & Forward-Deployed Engineering",Exact title present in source evidence
Speakeasy Inc. + Sales Consultant + 2025-06-17,Speakeasy Inc.,Sales Consultant,"Account Executive, Sales & Sales Leadership",Exact title present in source evidence
Drata + Sales Development Representative (Remote) + 2025-06-16,Drata,Sales Development Representative (Remote),Sales Development & Business Development,Exact title present in source evidence
Databar.ai + GTM Engineer (Growth & Sales) + 2025-06-14,Databar.ai,GTM Engineer (Growth & Sales),"Growth, Demand Generation & Marketing",Exact title present in source evidence
SmartMode AI + AI & Automation Sales Agent + 2025-06-06,SmartMode AI,AI & Automation Sales Agent,"Account Executive, Sales & Sales Leadership",Exact title present in source evidence
Meshy + Business Development Manager + 2025-06-01,Meshy,Business Development Manager,Sales Development & Business Development,Resolved from a same-period LinkedIn Saved Jobs record
PhrasIQ + Founding GTM Engineer + date unresolved,PhrasIQ,Founding GTM Engineer (historical requisition match pending),Founding GTM,Functional title corroborated by current Wellfound evidence; historical requisition match not fully verified
Hotglue + role unresolved + date unresolved,Hotglue,Role title unresolved,Exact Role Unresolved,Interview confirmed; title and functional lane were not supplied
