Platform,Action,Company / Thread,Role,Date,Source Record ID,Matched/Base Key,Final Key,Confidence,Rationale
LinkedIn Applications,MERGED,BX Studio,GTM Engineer,2026-04-06,4396642778,BX Studio + GTM Engineer + 2026-04-08,BX Studio + GTM Engineer + 2026-04-06,High,HIGH company/role/date match to existing ledger row.
LinkedIn Applications,MERGED,2X,GTM Engineer,2026-04-06,4378539250,"2X + GTM Engineer (Clay-centric, client portfolio) + 2026-04-27","2X + GTM Engineer (Clay-centric, client portfolio) + 2026-04-06",High,MEDIUM company/role/date match to existing ledger row.
LinkedIn Applications,ADDED,Elios AI,Senior Forward Deployed Engineer,2026-07-18,4436839048,—,Elios AI + Senior Forward Deployed Engineer + 2026-07-18,High,No supported existing opportunity match.
LinkedIn Applications,ADDED,Jobright.ai,"Product Manager, Entry Level",2026-05-26,4418256672,—,"Jobright.ai + Product Manager, Entry Level + 2026-05-26",High,No supported existing opportunity match.
LinkedIn Applications,ADDED,Nudge AI,Growth Lead,2026-07-12,4396375043,—,Nudge AI + Growth Lead + 2026-07-12,High,No supported existing opportunity match.
LinkedIn Applications,ADDED,Evolution USA,Forward Deplyed Engineer (FDE) - Applied AI / GenAI (Remote),2026-06-04,4424240607,—,Evolution USA + Forward Deplyed Engineer (FDE) - Applied AI / GenAI (Remote) + 2026-06-04,High,No supported existing opportunity match.
LinkedIn Applications,ADDED,HorizonAI Talent,Forward Deployed Engineer,2026-06-22,4430934105,—,HorizonAI Talent + Forward Deployed Engineer + 2026-06-22,High,No supported existing opportunity match.
LinkedIn Applications,ADDED,Greenway Collins,GTM Engineer | Remote (US),2026-06-08,4425484374,—,Greenway Collins + GTM Engineer | Remote (US) + 2026-06-08,High,No supported existing opportunity match.
LinkedIn Applications,ADDED,The Biological Computing Co. (TBC),Lead Sales and Product Engineer,2026-07-12,4430873489,—,The Biological Computing Co. (TBC) + Lead Sales and Product Engineer + 2026-07-12,High,No supported existing opportunity match.
LinkedIn Applications,ADDED,Fractional Demand,GTM Engineer,2026-07-26,4444497996,—,Fractional Demand + GTM Engineer + 2026-07-26,High,No supported existing opportunity match.
LinkedIn Applications,ADDED,Human Delta,Founding GTM Engineer,2026-07-12,4379699068,—,Human Delta + Founding GTM Engineer + 2026-07-12,High,No supported existing opportunity match.
LinkedIn Applications,ADDED,Franklin Fitch,AI Training and Adoption Consultant,2026-06-22,4429984671,—,Franklin Fitch + AI Training and Adoption Consultant + 2026-06-22,High,No supported existing opportunity match.
LinkedIn Applications,ADDED,Ailytics,Revenue Operations (RevOps) Specialist,2026-07-22,4438496260,—,Ailytics + Revenue Operations (RevOps) Specialist + 2026-07-22,High,No supported existing opportunity match.
LinkedIn Applications,ADDED,Light Labs,"GTM Engineer, Agents",2026-07-12,4377633056,—,"Light Labs + GTM Engineer, Agents + 2026-07-12",High,No supported existing opportunity match.
LinkedIn Applications,ADDED,Massive,GTM,2026-07-12,4438841359,—,Massive + GTM + 2026-07-12,High,No supported existing opportunity match.
LinkedIn Applications,ADDED,Crash Override,Growth Engineer,2026-04-16,4402520314,—,Crash Override + Growth Engineer + 2026-04-16,High,No supported existing opportunity match.
LinkedIn Applications,ADDED,Kognitos,Senior Solutions Engineer,2026-06-03,4423062275,—,Kognitos + Senior Solutions Engineer + 2026-06-03,High,No supported existing opportunity match.
LinkedIn Applications,ADDED,NetRise,Go To Market (GTM) Engineer / Outbound Pipeline Development,2026-03-31,4391881176,—,NetRise + Go To Market (GTM) Engineer / Outbound Pipeline Development + 2026-03-31,High,No supported existing opportunity match.
LinkedIn Applications,ADDED,Roc Search,Founding GTM Strategy,2026-06-22,4431766172,—,Roc Search + Founding GTM Strategy + 2026-06-22,High,No supported existing opportunity match.
LinkedIn Applications,ADDED,CRMIT Solutions,Ai Solutions Sales Specialist,2026-04-10,4394347364,—,CRMIT Solutions + Ai Solutions Sales Specialist + 2026-04-10,High,No supported existing opportunity match.
LinkedIn Applications,ADDED,Crossing Hurdles,GTM Lead,2026-04-01,2147622960,—,Crossing Hurdles + GTM Lead + 2026-04-01,High,No supported existing opportunity match.
LinkedIn Applications,ADDED,"Method Recruiting, a 3x Inc. 5000 company",Founding GTM Engineer,2026-07-12,4432661212,—,"Method Recruiting, a 3x Inc. 5000 company + Founding GTM Engineer + 2026-07-12",High,No supported existing opportunity match.
LinkedIn Applications,ADDED,COLOSSUS TECHNOLOGY GROUP,GTM Engineer,2026-04-06,4385958618,—,COLOSSUS TECHNOLOGY GROUP + GTM Engineer + 2026-04-06,High,No supported existing opportunity match.
LinkedIn Applications,ADDED,Hermetic AI,"Sales Development Representative - Atlanta, GA",2026-06-25,4431305953,—,"Hermetic AI + Sales Development Representative - Atlanta, GA + 2026-06-25",High,No supported existing opportunity match.
LinkedIn Applications,ADDED,Company.ai,GTM Sales Lead,2026-07-06,4360396738,—,Company.ai + GTM Sales Lead + 2026-07-06,High,No supported existing opportunity match.
LinkedIn Applications,ADDED,Stealth Startup,GTM Leader / Head of Growth [33260],2026-07-12,4433920623,—,Stealth Startup + GTM Leader / Head of Growth [33260] + 2026-07-12,High,No supported existing opportunity match.
LinkedIn Applications,ADDED,Hippocratic AI,Deployment Strategist,2026-06-24,4422676328,—,Hippocratic AI + Deployment Strategist + 2026-06-24,High,No supported existing opportunity match.
LinkedIn Applications,ADDED,QuadSci,Marketing GTM Engineer,2026-04-06,4389770201,—,QuadSci + Marketing GTM Engineer + 2026-04-06,High,No supported existing opportunity match.
LinkedIn Applications,ADDED,Doomers AI,Founding GTM,2026-07-26,4444837068,—,Doomers AI + Founding GTM + 2026-07-26,High,No supported existing opportunity match.
LinkedIn Applications,ADDED,Block+Tackle,Forward Deployed Marketing Engineer,2026-08-22,4439438328,—,Block+Tackle + Forward Deployed Marketing Engineer + 2026-08-22,High,No supported existing opportunity match.
LinkedIn Applications,ADDED,Valoh,Fractional GTM Operations Lead,2026-06-03,4423070262,—,Valoh + Fractional GTM Operations Lead + 2026-06-03,High,No supported existing opportunity match.
LinkedIn Applications,ADDED,Vi,Sr. Forward Deployed Engineer,2026-06-04,4424011681,—,Vi + Sr. Forward Deployed Engineer + 2026-06-04,High,No supported existing opportunity match.
LinkedIn Applications,ADDED,Baton AI,Founding GTM,2026-07-12,4432139171,—,Baton AI + Founding GTM + 2026-07-12,High,No supported existing opportunity match.
Jobright,ADDED,Axon,Key Account Executive,2026-01-02,Applied by Agent,—,Axon + Key Account Executive + 2026-01-02,High,No supported match in the prior ledger or LinkedIn application export.
Jobright,ADDED,Autodesk,"Sr. Sales Specialist, Fusion Enterprise",2026-01-02,Applied by Agent,—,"Autodesk + Sr. Sales Specialist, Fusion Enterprise + 2026-01-02",High,No supported match in the prior ledger or LinkedIn application export.
Jobright,MERGED,Thomson Reuters,"Account Executive, Tax or Risk Products",2026-01-02,Applied by Agent,"Thomson Reuters + Account Executive, Tax or Risk + 2026-01-02","Thomson Reuters + Account Executive, Tax or Risk + 2026-01-02",High,HIGH company/role/date match to the prior ledger.
Jobright,MERGED,Foursquare,Account Executive,2026-01-02,Applied by Agent,"Foursquare + Account Executive, New Business + 2026-01-02","Foursquare + Account Executive, New Business + 2026-01-02",High,MEDIUM company/role/date match to the prior ledger.
Jobright,MERGED,Primer,Senior Business Development Manager - North America,2025-12-09,Manual/Unspecified,Primer + UNKNOWN + 2025-12-09,Primer + Senior Business Development Manager - North America + 2025-12-09,High,Exact company and near-identical date; Jobright supplies the missing role title.
Jobright,MERGED,Replit,Sales Engineer,2025-07-27,Manual/Unspecified,Replit + Sales Engineer + 2025-07-27,Replit + Sales Engineer + 2025-07-27,High,HIGH company/role/date match to the prior ledger.
Jobright,MERGED,Stedi,GTM Strategy & Operations,2025-07-27,Manual/Unspecified,Stedi + UNKNOWN + 2025-07-27,Stedi + GTM Strategy & Operations + 2025-07-27,High,Exact company and near-identical date; Jobright supplies the missing role title.
Jobright,MERGED,Volley,Senior Business Development Manager,2025-07-27,Manual/Unspecified,Volley + UNKNOWN + 2025-07-27,Volley + Senior Business Development Manager + 2025-07-27,High,Exact company and near-identical date; Jobright supplies the missing role title.
Jobright,MERGED,Anaconda,Senior Business Development Representative,2025-07-27,Manual/Unspecified,Anaconda + Senior Business Development Representative + 2025-07-27,Anaconda + Senior Business Development Representative + 2025-07-27,High,HIGH company/role/date match to the prior ledger.
Jobright,MERGED,90 Seconds,(Senior) Business Development Manager - Enterprise (US),2025-07-27,Manual/Unspecified,90 Seconds + UNKNOWN + 2025-07-27,90 Seconds + (Senior) Business Development Manager - Enterprise (US) + 2025-07-27,High,Exact company and near-identical date; Jobright supplies the missing role title.
Jobright,MERGED,Nebius,"Director, GTM - Physical AI",2026-05-20,Applied by Agent,"Nebius + Director, GTM - Physical AI + 2026-05-21","Nebius + Director, GTM - Physical AI + 2026-05-20",High,HIGH company/role/date match to the prior ledger.
Jobright,MERGED,DBeaver,GTM Engineer,2026-05-20,Applied by Agent,DBeaver + GTM Engineer + 2026-05-21,DBeaver + GTM Engineer + 2026-05-20,High,HIGH company/role/date match to the prior ledger.
Jobright,MERGED,FOSSA,GTM Engineer,2026-05-20,Applied by Agent,FOSSA + UNKNOWN + 2026-05-21,FOSSA + GTM Engineer + 2026-05-20,High,Exact company and near-identical date; Jobright supplies the missing role title.
Jobright,MERGED,Freshtix,Business Development Manager,2026-05-19,Not stated,Freshtix + Business Development Manager + 2026-05-19,Freshtix + Business Development Manager + 2026-05-19,High,"Exact company, role, and date match to the LinkedIn application export."
Jobright,MERGED,Unframe,GTM Engineer (Remote),2026-04-17,Not stated,Unframe + GTM Engineer (Remote) + 2026-04-17,Unframe + GTM Engineer (Remote) + 2026-04-17,High,HIGH company/role/date match to the prior ledger.
Jobright,ADDED,Jobright.ai,Product Manager (Early Career),2026-03-27,Direct Apply,—,Jobright.ai + Product Manager (Early Career) + 2026-03-27,High,No supported match in the prior ledger or LinkedIn application export.
Jobright,MERGED,Enlace Health,Sales Engineer,2026-06-24,Applied by Agent,Enlace Health + Sales Engineer + 2026-06-24,Enlace Health + Sales Engineer + 2026-06-24,High,HIGH company/role/date match to the prior ledger.
Jobright,MERGED,Onit,Sales Engineer,2026-05-21,Applied by Agent,"Onit, Inc. + Sales Engineer + 2026-05-21","Onit, Inc. + Sales Engineer + 2026-05-21",High,HIGH company/role/date match to the prior ledger.
Jobright,MERGED,ServiceTrade,GTM Engineer,2026-05-21,Applied by Agent,ServiceTrade + GTM Engineer + 2026-05-21,ServiceTrade + GTM Engineer + 2026-05-21,High,HIGH company/role/date match to the prior ledger.
Jobright,MERGED,TRACTIAN,Sales Engineer - Automation,2026-05-20,Applied by Agent,TRACTIAN + Sales Engineer - Automation + 2026-05-21,TRACTIAN + Sales Engineer - Automation + 2026-05-20,High,HIGH company/role/date match to the prior ledger.
Jobright,MERGED,Applied Systems,Sales Enablement GTM Readiness Lead,2026-05-20,Applied by Agent,Applied Systems + Sales Enablement GTM Readiness Lead + 2026-05-20,Applied Systems + Sales Enablement GTM Readiness Lead + 2026-05-20,High,HIGH company/role/date match to the prior ledger.
Jobright,MERGED,Pindrop,GTM Systems Platform Specialist,2026-05-20,Applied by Agent,Pindrop + GTM Systems Platform Specialist + 2026-05-21,Pindrop + GTM Systems Platform Specialist + 2026-05-20,High,HIGH company/role/date match to the prior ledger.
Jobright,ADDED,CoLab,Sales Engineer,2026-05-20,Applied by Agent,—,CoLab + Sales Engineer + 2026-05-20,High,No supported match in the prior ledger or LinkedIn application export.
Jobright,MERGED,VitalSource,AI Enablement Lead,2026-05-20,Applied by Agent,VitalSource + AI Enablement Lead + 2026-05-21,VitalSource + AI Enablement Lead + 2026-05-20,High,HIGH company/role/date match to the prior ledger.
Jobright,MERGED,Telnyx,"Growth Engineer, GTM AI",2026-05-20,Applied by Agent,Telnyx + UNKNOWN + 2026-05-21,"Telnyx + Growth Engineer, GTM AI + 2026-05-20",High,Exact company and near-identical date; Jobright supplies the missing role title.
Jobright,MERGED,Deepgram,GTM Engineer,2026-05-20,Applied by Agent,Deepgram + GTM Engineer + 2026-05-21,Deepgram + GTM Engineer + 2026-05-20,High,HIGH company/role/date match to the prior ledger.
Jobright,ADDED,MavenAI,GTM Engineer,2026-05-20,Applied by Agent,—,MavenAI + GTM Engineer + 2026-05-20,High,No supported match in the prior ledger or LinkedIn application export.
Jobright,MERGED,NiCE,AI Solution Strategist,2026-05-20,Applied by Agent,NICE + AI Solution Strategist + 2026-05-21,NICE + AI Solution Strategist + 2026-05-20,High,HIGH company/role/date match to the prior ledger.
Jobright,MERGED,Trase,"GTM Engineer, Healthcare",2026-06-26,Applied by Agent,"Trase + GTM Engineer, Healthcare + 2026-06-26","Trase + GTM Engineer, Healthcare + 2026-06-26",High,HIGH company/role/date match to the prior ledger.
Jobright,MERGED,WireScreen,Partnerships Manager,2026-06-24,Applied by Agent,WireScreen + Partnerships Manager + 2026-06-25,WireScreen + Partnerships Manager + 2026-06-24,High,HIGH company/role/date match to the prior ledger.
Jobright,ADDED,Vanco,GTM Enablement Manager,2026-06-24,Applied by Agent,—,Vanco + GTM Enablement Manager + 2026-06-24,High,No supported match in the prior ledger or LinkedIn application export.
Jobright,MERGED,MinIO,Business Development Representative - Enterprise,2026-06-24,Applied by Agent,MinIO + Business Development Representative - Enterprise + 2026-06-24,MinIO + Business Development Representative - Enterprise + 2026-06-24,High,HIGH company/role/date match to the prior ledger.
Jobright,MERGED,Clay,"Growth Strategist, Enterprise (Customer Success)",2026-06-24,Applied by Agent,"Clay + Growth Strategist, Enterprise (Customer Success) + 2026-06-24","Clay + Growth Strategist, Enterprise (Customer Success) + 2026-06-24",High,HIGH company/role/date match to the prior ledger.
Jobright,MERGED,UpGuard,SDR Manager (role based in Austin TX - relocation package),2026-06-24,Applied by Agent,UpGuard + SDR Manager (Austin; relocation available) + 2026-06-24,UpGuard + SDR Manager (Austin; relocation available) + 2026-06-24,High,MEDIUM company/role/date match to the prior ledger.
Jobright,MERGED,Tekion Corp,Senior Manager Inside Sales,2026-06-24,Applied by Agent,"Tekion + Senior Manager, Inside Sales + 2026-06-24","Tekion + Senior Manager, Inside Sales + 2026-06-24",High,HIGH company/role/date match to the prior ledger.
Jobright,MERGED,Automation Anywhere,Sales Engineer,2026-06-24,Applied by Agent,Automation Anywhere + Sales Engineer + 2026-06-24,Automation Anywhere + Sales Engineer + 2026-06-24,High,HIGH company/role/date match to the prior ledger.
Jobright,MERGED,Canals,Sales Manager,2026-06-24,Applied by Agent,Canals + Sales Manager + 2026-06-24,Canals + Sales Manager + 2026-06-24,High,HIGH company/role/date match to the prior ledger.
Jobright,MERGED,StackAI,Sales Engineer,2026-06-24,Applied by Agent,StackAI + Sales Engineer + 2026-06-24,StackAI + Sales Engineer + 2026-06-24,High,HIGH company/role/date match to the prior ledger.
Jobright,MERGED,OpenObserve,Growth Marketer,2026-06-24,Applied by Agent,OpenObserve Inc. + Growth Marketer + 2026-08-24,OpenObserve Inc. + Growth Marketer + 2026-06-24,High,MEDIUM company/role/date match to the prior ledger.
Jobright,MERGED,RevPartners,RevOps Strategist,2026-06-24,Applied by Agent,RevPartners + UNKNOWN + 2026-06-24,RevPartners + RevOps Strategist + 2026-06-24,High,Exact company and near-identical date; Jobright supplies the missing role title.
LinkedIn Threads,MERGED — EVIDENCE AMENDMENT,per_6d523f811622 / Teleport / 2026-04-14,—,—,—,Teleport + GTM Engineer + 2026-04-14,Teleport + GTM Engineer + 2026-04-14,High,The Teleport ATS confirmation and Andrew message occurred minutes apart and describe the same application.
LinkedIn Threads,EXCLUDED — NO SPECIFIC OPPORTUNITY,per_110491e97aa7 / Atlanta staffing / 2025-07-27,—,—,—,—,—,High,"The in-window messages revived a 2020–2021 recruiter thread with a general video/resume but named no company, role, or requisition."
LinkedIn Threads,CORRECTED — EVIDENCE AMENDMENT,per_e4b688b984ea / The Workflow Company / 2026-03-09,—,—,—,Parallel + Unspecified + 2026-03-09,The Workflow Company + AI/GTM Automation Generalist (part-time to full-time) + 2026-03-09,High,The matching founder hiring post identifies The Workflow Company and the functional scope; Parallel was incorrect.
LinkedIn Applications,MERGED — LEGAL-NAME NORMALIZATION,The Hog (YC F25) → The Hog,Founding GTM Engineer,46177,4421369110,The Hog (YC F25) + Founding GTM Engineer + 2026-06-04,The Hog + Founding GTM Engineer + 2026-06-04,High,"Same company identity, exact title, exact application date, and one continuous per_114ee740dd72 interview/take-home process. The job-ID wrapper was folded into the process-rich record."
LinkedIn Applications,MERGED — LEGAL-NAME NORMALIZATION,Huzzle.com → Huzzle,GTM Engineer,46177,4422680810,Huzzle.com + GTM Engineer + 2026-06-04,Huzzle + GTM Engineer + 2026-06-04,High,"Same company identity, exact title, exact date, and a Workable AI-video process downstream of the LinkedIn application."
LinkedIn Applications,MERGED — LEGAL-NAME NORMALIZATION,"AppGate Cybersecurity, Inc. → AppGate",GTM Engineer,46118,4393579449,"AppGate Cybersecurity, Inc. + GTM Engineer + 2026-04-06",AppGate + GTM Engineer + 2026-04-06,High,"Same company identity, exact title, exact date, and LinkedIn/Workable records representing one application process."
